generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,frac_forage,frac_care,frac_self,frac_protect,maternal_fraction,std_maternal_fraction,mutation_sigma,u_forage_child_hunger,u_forage_energy_deficit,u_forage_low_fear,u_care_child_warmth,u_care_closeness_deficit,u_care_bonding,u_self_fatigue,u_self_fear,u_self_stress,u_protect_child_injury,u_protect_fear,u_protect_closeness_deficit,u_protect_bonding
0,0.41459999999999997,True,1,0.0,0.27240000000000003,0.6599999999999999,25.8,0.0,0.0,0.0,2.1243112378961007,0.4994418822133517,2.78031561497223,1.3895144033335527,0.5329148382657392,0.40412776679945134,1.0145225468536154,1.0586310901078289,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.5722267928686982,0.38169930700059684,0.04188556257981928,0.004188337550885686,0.3858876445514825,0.24276098655269432,0.0,0.06199069269127366,0.7949207994576979,0.45951216577115545,0.099624137040469,0.05,0.12907019880268633,0.8515427969928147,0.8259549448271617,0.8738328726835872,0.16335322994680224,0.1086206471403216,0.05,0.06445848777451979
1,0.4742,True,1,0.0,0.251,0.7912,23.45,0.0,0.0,0.0,1.9128956629909695,0.3586950213846979,2.346328872200008,1.3529214125739302,0.3578907485193897,0.343159345894928,0.4753776274864,0.7782195864112155,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.6448466824598814,0.3302634361822358,0.01955551603280547,0.0053343653250774,0.3355978015073132,0.21433489690999508,0.05,0.05,0.6898415989153959,0.4190243315423109,0.099248274080938,0.05,0.15814039760537263,0.8030855939856293,0.7519098896543235,0.8476657453671744,0.2267064598936045,0.1172412942806432,0.05,0.05
2,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.0,0.0,1.693006428815447,0.04068673002442314,1.5181000000290978,0.02024080042097775,0.10403876012668123,0.002108743338083606,3.4206162026527626e-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8008000000000001,0.199,0.0002,0.0,0.199,0.0,0.05,0.09975844920869,0.6241330809987459,0.468373707962152,0.0755691137910171,0.05,0.234398869605876,0.9085279815954771,0.7213973692105462,0.8660835603889983,0.14604432605558162,0.12224832865607062,0.05,0.05504092503840008
3,0.4213,False,1,0.0,0.21769999999999995,0.9320999999999999,76.8,0.0,0.0,0.0,1.8686837621541006,0.304963086490352,1.7998701682273797,0.7692556706962689,0.242539320467605,0.20820282626538963,0.19623531370590983,0.5847168866882233,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7812451713395638,0.1941626168224299,0.02449221183800623,0.0001,0.1942626168224299,0.19682509470242984,0.05,0.05,0.5292005259976269,0.560306266552315,0.14806616182202947,0.11012008802796412,0.24178782618821704,0.8863042719313828,0.7099115889259243,0.8081652204977761,0.17889581545776911,0.10352337667144787,0.1091952062525453,0.0865747971285235
4,0.56745,False,1,0.0,0.20900000000000002,0.9259000000000001,0.0,0.0,0.0,0.0,1.8604757539404357,0.5834966828196143,1.804458292701209,0.7749900407680146,0.21878892527451482,0.3430173592701152,0.19563899439075275,0.5375480767928305,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7417494208494209,0.22340154440154442,0.007435907335907337,0.027413127413127413,0.2508146718146719,0.15577763408457793,0.05,0.11330208188213489,0.6438065015805238,0.4765466097532471,0.0790333055957637,0.07097873553357414,0.22075765613663018,0.9101688603009145,0.7468678072010827,0.8826771931354276,0.21672156612009308,0.22115012262158948,0.058861784065390985,0.09870125829772006
5,0.32839999999999997,False,1,0.0,0.3186,0.5244,46.55,0.0,0.0,0.0,2.355837636798168,0.44217675669154316,3.112020741798477,1.4976435300491124,0.7890836739115613,0.3562095290265423,1.031348415553752,0.9794667946200502,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.5187917573705315,0.3982937959046975,0.052633994958626265,0.030280451766144724,0.4285742476708422,0.17995446912086266,0.05,0.12066440591883715,0.690158656005227,0.4292663708701891,0.1625238685130293,0.05,0.18712418367794736,0.9477717488806676,0.7024402512337425,0.8181149315700252,0.14723611748869325,0.0959618428843872,0.059422857235870805,0.062328528108046136
6,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.0,0.0,1.6772478810296012,0.04414546479229111,1.5221112847222231,0.03717088915093948,0.10367925587399522,0.001861188699181686,0.005200000000000629,0.015600000000001885,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8007000000000002,0.199,0.00030000000000000003,0.0,0.199,0.0,0.05,0.14216935718193924,0.6444208508295995,0.5575572193748967,0.05,0.1132262571479063,0.31692800414139977,0.8349165869161379,0.708507922600929,0.8114617519474991,0.11530227808212644,0.1414644253847647,0.05,0.06929835862117552
7,0.5420499999999999,False,1,0.0,0.16410000000000002,1.0,20.0,0.0,0.0,0.0,1.6551977235449342,0.056499231771416136,1.5363000000019034,0.05366945127733061,0.09194615341842163,0.022058029044054007,1.1501002971561417e-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8353000000000002,0.15950000000000003,0.0047,0.0005,0.16,0.07750225803162125,0.05,0.10845115752528015,0.6360414796875086,0.5212511618076447,0.09538329134062572,0.1323046160875237,0.3017416046044781,0.7995126619189422,0.7040036393287777,0.863951882964322,0.1646114915895607,0.18193026149968206,0.05,0.18651967350472148
8,0.57075,False,1,0.0,0.18150000000000002,1.0,10.0,0.0,0.0,0.0,1.6892825845202566,0.05787360642391498,1.5642003092924752,0.060196025880630034,0.09993197168697562,0.016814168623213298,2.705490164968828e-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.818,0.17950000000000002,0.0025,0.0,0.17950000000000002,0.0585,0.05,0.16856974510456274,0.62505369702257,0.5725388292800769,0.05,0.1145763306280029,0.30179240282466413,0.8701806308179967,0.7394315975580332,0.8560742921521511,0.1246837195847191,0.11086208259678995,0.05,0.09889156082380175
9,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.0,0.0,1.682618224261142,0.05004779645244016,1.5353,0.054411487757641736,0.10341508750366513,0.0012287064226266702,2.416639580287842e-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8007,0.199,0.00030000000000000003,0.0,0.199,0.0,0.05,0.12901836658013013,0.6166400616291609,0.5171787876695713,0.08488888956266344,0.1027676875433784,0.3484669865874016,0.8255923801172872,0.6961029540749946,0.8042261591085599,0.11709983788271512,0.12007699526495194,0.05,0.08096566547302432
