generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,frac_forage,frac_care,frac_self,frac_protect,maternal_fraction,std_maternal_fraction,mutation_sigma,u_forage_child_hunger,u_forage_energy_deficit,u_forage_low_fear,u_care_child_warmth,u_care_closeness_deficit,u_care_bonding,u_self_fatigue,u_self_fear,u_self_stress,u_protect_child_injury,u_protect_fear,u_protect_closeness_deficit,u_protect_bonding
0,0.48474999999999996,True,1,0.0,0.288,0.9381,64.15,0.0,0.0,0.0,2.0387764249960756,0.4456873357734959,1.8039123585268932,0.7770237692865476,0.42492259344377326,0.2918638369520645,0.2213423375070383,0.6355565329941075,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8062062992125985,0.09617191601049868,0.05548608923884515,0.04213569553805775,0.13830761154855642,0.09390770680866115,0.0,0.8165358239302638,0.528160874735967,0.5210191716050504,0.8199320444792321,0.9316168351204019,0.8403966408805893,0.23824754724488328,0.38861513128731856,0.24388390871802548,0.790266589203214,0.4743763594424541,0.8813550260233207,0.8967117603338415
1,0.4117,False,1,0.0,0.1834,1.0,90.0,0.0,0.0,0.0,1.7030508976268943,0.10849163157748212,1.5147354170163476,0.022057899062370993,0.19897029238885813,0.08000782232231607,0.0020000000000003127,0.006000000000000937,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8597999999999999,0.0627,0.041,0.036500000000000005,0.0992,0.03406699282296575,0.05,0.7330716478605276,0.5563217494719339,0.5420383432101008,0.7398640889584641,0.9632336702408039,0.7807932817611786,0.17649509448976658,0.47723026257463713,0.18776781743605098,0.680533178406428,0.4487527188849082,0.8627100520466414,0.8934235206676829
2,0.43449999999999994,False,1,0.0,0.29619999999999996,0.8096,59.2,0.0,0.0,0.0,2.002266761280935,0.32902308030449817,2.156289164454067,1.0228031965882494,0.5073655426963876,0.3323738623879194,0.45457805334283996,0.7491638121412797,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7502277525674708,0.16430111527655153,0.05954070410553801,0.025930428050439696,0.19023154332699121,0.1103369867444699,0.05,0.7684125293227174,0.5110594306249528,0.49015368070938053,0.7954197839052329,0.9762061196495146,0.8468369826690929,0.23465939509321415,0.36037979304162693,0.29670217437018676,0.7135481892506714,0.471982245678609,0.978859394485035,0.8523117532194432
3,0.37805,False,1,0.0,0.2344,0.8017,70.0,0.0,0.0,0.0,1.9401209283988279,0.39882287500552516,2.285915846136805,1.140180116315501,0.4434524986626279,0.39523449766382196,0.5761709503797052,0.8806554138449239,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7426652891074146,0.16217629517085974,0.07878355807802848,0.01637485764369717,0.17855115281455694,0.15233640476705654,0.05,0.8130729965256921,0.5545875353611632,0.6208743818764584,0.7765839037587395,0.9373504484767183,0.8826468019010019,0.1179719302081547,0.4637624799743159,0.26742457297179834,0.7974774600471245,0.36441884884790765,0.8349015469113041,0.974841170893601
4,0.3972,False,1,0.0,0.2101,0.8703,71.5,0.0,0.0,0.0,1.9026350986373308,0.3622265941817934,2.1093450585165616,1.1226375118908807,0.3815616796851672,0.3780858922413073,0.4693783918498949,0.9045902134783814,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7867030118030118,0.13382299552299554,0.07576630036630036,0.0037076923076923077,0.13753068783068784,0.13589341162193044,0.05,0.868751975015078,0.4897720537832682,0.574356677003675,0.7734026718377776,0.899642494192821,0.890009186999617,0.1847174864257355,0.3774132940792559,0.27368290409754215,0.8387831241186047,0.5436127466418612,0.8566446285542566,0.8110490939782609
5,0.38294999999999996,False,1,0.0,0.2819,0.6724,47.1,0.0,0.0,0.0,2.1143918415040828,0.36357826427517703,2.6319550368340825,1.1929199874979903,0.6290169611113655,0.398664048351234,0.7747146374254407,0.8231487224139661,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7214533383971273,0.16986312206414683,0.04636045143570418,0.06232308810302163,0.2321862101671685,0.13941670936065803,0.05,0.8202295019954545,0.5661884235223197,0.5099601394012293,0.8610492165866439,0.9757626080335713,0.8508582317137282,0.2580876009868991,0.36693430460691195,0.26814375296128584,0.7333635276661882,0.56265444527971,0.8868011856870787,0.9322835021907053
6,0.4366,False,1,0.0,0.254,0.8606,60.35,0.0,0.0,0.0,1.931251611239438,0.2909162627756015,2.055754911963809,1.0841573431513314,0.4281379423786095,0.33091928869011145,0.42182335704324425,0.8443563020702453,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7934698240363505,0.10845606479307068,0.05629685318886328,0.04177725798171551,0.1502333227747862,0.1209796962915411,0.05,0.7614459451294702,0.4620230798379213,0.4816318137530853,0.8905331605623902,0.9021778765461721,0.877835159170068,0.22820963434965388,0.3807291516921292,0.3332123899572514,0.8238227648739267,0.41596905997067124,0.9697979832313899,0.9768801914469216
7,0.39924999999999994,False,1,0.0,0.22030000000000002,0.8695999999999998,72.85,0.0,0.0,0.0,1.9372459061073968,0.4681536320733602,1.9878259848166067,0.979213687007189,0.393583873195299,0.38971466501002655,0.32060635119121467,0.6419799337809056,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8008281184194228,0.08748561872909699,0.055801374953548866,0.055884887897931376,0.14337050662702838,0.13464833031341022,0.05,0.837094522157687,0.5048651099848558,0.5704524153892252,0.8362891004185266,0.9386825407639631,0.7837221985704658,0.26999566254748525,0.2806518926254342,0.28795044652344814,0.7526835716339673,0.43839633783073567,0.84044100423724,0.8190357191976388
8,0.39215,False,1,0.0,0.2002,0.8657,70.4,0.0,0.0,0.0,1.8571746117074845,0.3185805236325043,1.9524694722962395,0.8442140157301186,0.3547802161276975,0.35875302550144145,0.3317205583740171,0.6586754435826443,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8038160733509038,0.10024493485281563,0.05010047143546531,0.04583852036081518,0.1460834552136308,0.12600428014653156,0.05,0.8324893862569871,0.45296499452781536,0.5335550241188582,0.8758228687264611,0.9611468828155822,0.936754153108491,0.2575757054520178,0.42439395594736035,0.23971040659972742,0.7498689399107134,0.4897943457089396,0.8923845315907551,0.9633664574885364
9,0.4035000000000001,False,1,0.0,0.21539999999999998,0.8716000000000002,70.0,0.0,0.0,0.0,1.9525949195718841,0.40537911798848053,1.7535283676509938,0.45042964666428925,0.41381862001393915,0.37450735081088626,0.16035613614293692,0.3197168802037885,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8182436813186813,0.06234832667332668,0.06972310189810191,0.04968489010989011,0.11203321678321676,0.10527720717122299,0.05,0.8269055357666514,0.5583831461730698,0.4951932760530774,0.8266192319896764,0.8702682978536401,0.7334257789426304,0.17672796205337032,0.401146031329182,0.3257582752462658,0.7885302501679177,0.4288293870552865,0.9193571459378856,1.0
