generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,frac_forage,frac_care,frac_self,frac_protect,maternal_fraction,std_maternal_fraction,mutation_sigma,u_forage_child_hunger,u_forage_energy_deficit,u_forage_low_fear,u_care_child_warmth,u_care_closeness_deficit,u_care_bonding,u_self_fatigue,u_self_fear,u_self_stress,u_protect_child_injury,u_protect_fear,u_protect_closeness_deficit,u_protect_bonding
0,0.38925000000000004,True,1,0.0,0.1385,1.0,90.0,0.0,0.0,0.0,1.6701204057936416,0.09508576493488954,1.5212233845075236,0.030283436383841997,0.14191661082716328,0.08117166051163373,0.0022000000000003154,0.006600000000000947,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.9229,0.04159999999999999,0.0349,0.0006000000000000001,0.042199999999999994,0.045737949232557425,0.0,0.2577127976398457,0.07983258352745153,0.3227690134727182,0.21401242277744614,0.3382075618344898,0.20480271138173395,0.7143480655663782,0.7829352900847836,0.5388248252468536,0.27401654371168493,0.2685376452688355,0.5304294080439556,0.1774757148379817
1,0.37190000000000006,False,1,0.0,0.154,0.9498000000000001,90.0,0.0,0.0,0.0,1.7073737642150597,0.2662582528580985,1.632688888890759,0.34479911059448926,0.18930020207243614,0.23782244870247687,0.07990000000000028,0.23970000000000077,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.9002465863453816,0.04558433734939759,0.0400433734939759,0.014125702811244981,0.059710040160642575,0.07926874668124961,0.05,0.2160295564832115,0.052726539433837524,0.27976034407063227,0.18892259689373092,0.38887584119271446,0.24199785702816004,0.6346933148339945,0.7873228821007764,0.5404861720029401,0.19554152440175154,0.2775911948322774,0.47654391135378943,0.27789379523910007
2,0.33765000000000006,False,1,0.0,0.10180000000000003,0.9335000000000001,90.0,0.0,0.0,0.0,1.6926000445015539,0.23300389194943477,1.645655919755922,0.3440255800792547,0.17131056555478438,0.2516002230186416,0.07990044593338332,0.23970133780014993,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.9383850746268656,0.01704776119402985,0.027700000000000002,0.016867164179104478,0.03391492537313433,0.05473714179118263,0.05,0.24765258964593717,0.05,0.34843135997456587,0.20120749925246023,0.32924814720326623,0.1933518069355797,0.7228961692270062,0.7347848491681968,0.5334005890600263,0.15082024170075556,0.34295224265755897,0.588689600251107,0.25055436595035824
3,0.4221499999999999,True,1,0.0,0.1643,1.0,80.0,0.0,0.0,0.0,1.6819579864786331,0.11383169973701415,1.5520789320208057,0.049857107249752945,0.15763643175260936,0.10837660504648286,0.005600000000000648,0.011516944039111646,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.9244,0.04379999999999999,0.0318,0.0,0.04379999999999999,0.04722033460279585,0.05,0.23417088586174717,0.08235026313373535,0.30809141391825084,0.17548796354489352,0.34181160785523285,0.17343344043469944,0.6903695498276454,0.8425823182666132,0.5292188754865648,0.29515075285752523,0.20065405079975343,0.509422645546776,0.1358130546666409
4,0.3535499999999999,False,1,0.0,0.1879,0.8654,86.55,0.0,0.0,0.0,1.89673921994036,0.4742085017567127,2.077558981669795,1.11477833191893,0.34433328690120685,0.40062485379475865,0.388868285743708,0.7838765408626509,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.857985560053981,0.07123360323886639,0.06138596491228071,0.009394871794871796,0.08062847503373818,0.12056114931953905,0.05,0.2250283436390934,0.06359754848832291,0.3494048615945162,0.18461839417994405,0.37010389805605054,0.1698825915126277,0.6546786470195273,0.8956128887010902,0.5886807517602337,0.30098743742567957,0.22773543381092248,0.4018043464460752,0.15865883724483765
5,0.40415,False,1,0.0,0.2189,0.8694,70.0,0.0,0.0,0.0,1.8577718651389248,0.3202424783702015,1.8145674642083904,0.5881971037334627,0.3332333288388658,0.33682782318625976,0.2586359547810521,0.5611652842700109,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.9078427216583964,0.052657134545212744,0.039400143796390966,0.0001,0.05275713454521273,0.05767513121916421,0.05,0.18424114319731344,0.05,0.3235753212174813,0.2107131601949972,0.29987669286522417,0.15203101515761364,0.6953412407514753,0.8296251995524973,0.48277557105117985,0.31082437294156423,0.19801007648880828,0.5446725008181235,0.13875651592657035
6,0.46960000000000013,True,1,0.0,0.2743,0.8649000000000001,50.0,0.0,0.0,0.0,1.9127346103895007,0.3321125068726872,2.034110007469174,0.9816081391278918,0.39334940732084905,0.330009606513569,0.3970987710588337,0.7670870106703377,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8414522958456127,0.11903444243749406,0.03951326171689324,0.0,0.11903444243749406,0.09172009395535835,0.05,0.2721114128110169,0.0713506759208006,0.3104056429104687,0.2494001576539681,0.3691089695011743,0.25177203656848646,0.6194182487439837,0.7786297039809843,0.49203971675270186,0.28763279426580557,0.1324106790917085,0.4810908404380164,0.08609147222372449
7,0.44975,False,1,0.0,0.2875,0.8119999999999999,50.0,0.0,0.0,0.0,1.9837090947366662,0.35851454708086355,2.223706948513182,1.0526456404481683,0.43427715807017836,0.33235361984638573,0.6029986151798488,0.9254526321338143,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.838959058935165,0.127544879530499,0.033496061534335875,0.0,0.127544879530499,0.09152104282244267,0.05,0.2616446288774369,0.05,0.3107056756750355,0.26973798878411676,0.34760208799558046,0.3170494546450411,0.6440808177838541,0.7269187555364423,0.45652969289362355,0.2166485153592233,0.18046268102625015,0.499801354467717,0.07570575039225438
8,0.39205,False,1,0.0,0.2049,0.9343999999999999,88.8,0.0,0.0,0.0,1.7795740174337389,0.25303742649093597,1.6484225744468073,0.3283910026999053,0.26323409507966467,0.2710657925521128,0.08841788185510192,0.23887185657051985,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8814860465116279,0.07363720930232558,0.044876744186046515,0.0,0.07363720930232558,0.07361716429878476,0.05,0.19153203424427512,0.1352503672073055,0.29647456806673894,0.2838921179824733,0.34387257047016967,0.2833427874892572,0.6016970571838681,0.7526975712689108,0.5299479756944929,0.33435158755854555,0.05,0.47196165378162386,0.09848314654847333
9,0.3611,False,1,0.0,0.1869,0.8696999999999999,83.6,0.0,0.0,0.0,1.8189911110691934,0.32809192560763484,1.9564180207594226,0.8685974813428173,0.30534972617702383,0.33870412144624795,0.364913319783641,0.7310394231300164,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8635418219461697,0.09859420289855073,0.0378639751552795,0.0,0.09859420289855073,0.1008196165687321,0.05,0.27485021677725857,0.05,0.27768729185753016,0.2165118287939849,0.3767910153683092,0.2939497574713527,0.5456096459699968,0.823782105119506,0.47177023968829607,0.37420305425124956,0.0874859820478002,0.5160082762174666,0.09408858447885962
10,0.36315,False,1,0.0,0.1296,0.9167,80.0,0.0,0.0,0.0,1.7492918713198666,0.2470155669520235,1.7948405049145884,0.5495766725932798,0.2249368006277964,0.27306386225388085,0.23734210914335274,0.4997858387482541,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.9248894288729238,0.040239193975050234,0.034871377152025915,0.0,0.040239193975050234,0.07035371740751514,0.05,0.2068702941853332,0.05,0.33605022254433803,0.23551603111704336,0.3495165420050302,0.24498891548925233,0.6252355658711725,0.8059902273750681,0.43733876063649746,0.31668156823885274,0.17987828221175128,0.526968964217662,0.05
11,0.36124999999999996,False,1,0.0,0.1048,0.9376999999999999,80.0,0.0,0.0,0.0,1.675450439537259,0.21276520358161954,1.735556735057291,0.6460998943169273,0.16782355844965297,0.24144968694702892,0.1810999884221594,0.5432999652664783,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.9457755968169762,0.023376127320954905,0.030848275862068963,0.0,0.023376127320954905,0.0504702452901432,0.05,0.2409705997988968,0.05,0.3130874995308376,0.26152885092832906,0.4242979001556847,0.3069228839778004,0.5376077506008465,0.8153826503290974,0.502422660462068,0.2842086253898876,0.17491762781865983,0.44499945660307394,0.1318129432287258
12,0.3972,False,1,0.0,0.22279999999999997,0.8782,76.65,0.0,0.0,0.0,1.8547698434467688,0.32029952078934426,1.923584827356871,0.8063918072151132,0.3362026722123422,0.3279536985362143,0.29252927180126703,0.6560326191637055,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8324422272047831,0.13482073457185564,0.03273703822336109,0.0,0.13482073457185564,0.11888891022537226,0.05,0.22005970915544443,0.12367663080443941,0.1691056958408752,0.3036125757063027,0.38012581807766616,0.3332515374862105,0.6974020613808116,0.6551145842714962,0.5206079456450571,0.268098910136936,0.05,0.46176909031467767,0.05
13,0.3845,False,1,0.0,0.129,1.0,90.0,0.0,0.0,0.0,1.6762189726980647,0.14982089193698025,1.5463279513916217,0.10543191932515612,0.13936410750601766,0.13008559161032723,0.02500000000000064,0.07500000000000191,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.9218,0.0413,0.0369,0.0,0.0413,0.06103286000180558,0.05,0.2270444137482913,0.05163692400268259,0.29179385827914345,0.23512611815389248,0.36155691568267523,0.28532021519235506,0.5785410436272334,0.7842156588531192,0.5595247795128259,0.2565146519823586,0.14138113572993838,0.42284539160013573,0.09533398357374714
14,0.39299999999999996,False,1,0.0,0.146,1.0,90.0,0.0,0.0,0.0,1.6850898443477924,0.12851028699022282,1.5323000006720107,0.0471275943453845,0.17114476137522394,0.1338149205571171,0.0012000000000003013,0.003600000000000904,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.9115,0.027600000000000003,0.060899999999999996,0.0,0.027600000000000003,0.03334726375581661,0.05,0.26909519283045397,0.08475558315457865,0.3109893157108693,0.30413046869386556,0.3664997206550464,0.23071328702724142,0.543755590461484,0.7433898841265147,0.5286569454293605,0.3032054650524377,0.14134733224068644,0.3828659287307628,0.05
15,0.3411,False,1,0.0,0.14720000000000003,0.9349999999999999,100.0,0.0,0.0,0.0,1.7277499545449015,0.27778521960015984,1.8087511527277331,0.7775108702675112,0.2007755655628009,0.24557911795888135,0.21098656939435342,0.6329597081830604,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.9174714285714286,0.04522857142857143,0.0373,0.0,0.04522857142857143,0.04568039815402449,0.05,0.25117943914793717,0.054805205714444916,0.27704890361995294,0.23802855442207999,0.41511359286919075,0.25073826128189636,0.5707394397512695,0.8141784878191591,0.5307652346212731,0.373064902267326,0.12222109348130851,0.45655198959641496,0.07975150445013904
16,0.46445000000000003,False,1,0.0,0.20890000000000003,1.0,70.0,0.0,0.0,0.0,1.7133169301413897,0.09800732306975748,1.5319000000027325,0.03487534946485334,0.19778565478508256,0.08460887614179134,0.006200000000000373,0.018600000000001116,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8787,0.0927,0.028599999999999997,0.0,0.0927,0.050384620669406646,0.05,0.26268112103070207,0.10024142408029503,0.25902115334015985,0.22682556996190065,0.3581791705691134,0.29931503781923746,0.6253926836605532,0.7972301177930069,0.5553866886171225,0.35874575692403393,0.17669355915687923,0.4999550667078553,0.05
