generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,frac_forage,frac_care,frac_self,frac_protect,maternal_fraction,std_maternal_fraction,mutation_sigma,u_forage_child_hunger,u_forage_energy_deficit,u_forage_low_fear,u_care_child_warmth,u_care_closeness_deficit,u_care_bonding,u_self_fatigue,u_self_fear,u_self_stress,u_protect_child_injury,u_protect_fear,u_protect_closeness_deficit,u_protect_bonding
0,0.38065000000000004,True,1,0.0,0.2475,0.7946,70.2,0.0,0.3031020686819655,0.13607031694965335,2.098006052365979,0.4779833344724871,2.6106453373541365,1.7113140800367723,0.41022140831602866,0.33905778266555575,0.585292513734804,0.9088649535712446,0.02450327693544633,0.012105556942023966,0.14418177921636222,0.014927932188371388,0.3655089527756195,0.06839134354970039,0.04223366760288587,0.002708045970036487,0.3968599374148629,0.1662607712393257,0.67696220322887,0.28981920055253385,0.025442786842786842,0.007775809375809378,0.29759500992834326,0.24337371270580446,0.0,0.44917381878373513,0.39507752211683134,0.22563285337337913,0.5423685917591025,0.058175179408330814,0.970489396383512,0.8113121932156379,0.7694463891782217,0.6879100867497328,0.07817415838367701,0.4219839284813149,0.434554337046803,0.23014946366508737
1,0.4045,True,1,0.0,0.2554,0.7888,58.8,0.0,0.3189570066563733,0.10638100225503107,2.0187136908317216,0.38350028666699415,2.283572225524501,1.1751632248682475,0.377744389925036,0.3023837911287192,0.526925328727886,0.8079387318850267,0.023227287388358824,0.009555702147334632,0.1450000000000001,0.015000000000000003,0.3710663687520689,0.041885304303203905,0.042033135544047064,0.002335991294602905,0.40491830334574114,0.13786410842224514,0.6620824230387289,0.32249784839457135,0.014717974180734856,0.0007017543859649123,0.3231996027805363,0.24760869473429953,0.05,0.3565632815530897,0.34102757253919713,0.22956104464892077,0.4746618121955727,0.08948260241613928,1.0,0.7377632654371794,0.6856754115906174,0.7170614649842852,0.05,0.45586168790490844,0.443830809386377,0.17230773767739785
2,0.35345,False,1,0.0,0.3509,0.5526,49.15,0.0,0.42839868813510895,0.12860012388929906,2.5043576682508406,0.46883220237304685,3.4403111745139547,1.5250881392770732,0.753184943805153,0.3503148228137943,1.2445255080155462,0.9105133309432831,0.036066758539007454,0.01409905262391969,0.1500000000000001,5.1178752665209035e-17,0.41822184553239533,0.06286002653914181,0.04401913093412045,0.0023954867287328536,0.5245678241277771,0.14185789523205433,0.5070731485065202,0.46480175458823697,0.025937680182960048,0.002187416722282717,0.46698917131051976,0.17612287874930893,0.05,0.315585740334136,0.29585429966960697,0.20310176043242273,0.45595910880510643,0.07142291419902283,0.9609564880943083,0.8631866445212136,0.607497276342838,0.7054775694606215,0.05,0.5136123369063732,0.47505893243016084,0.12757319933888125
3,0.47675,True,1,0.0,0.24629999999999996,0.792,21.2,0.0,0.3232278910939344,0.04172867759140404,1.9357503649719263,0.34324148606614646,2.3704049958073337,1.314695408116107,0.328829665459067,0.31802536365806683,0.478907397740742,0.7188470226480391,0.019145993523999878,0.00554945673951899,0.14000000000000007,0.019999999999999987,0.3598836556264789,0.02820196232714367,0.04149654227369285,0.0018900662255094214,0.37573263884063735,0.027157458806095887,0.6514312357604173,0.3428904573612758,0.005378306878306878,0.00030000000000000003,0.34319045736127585,0.22589463367512153,0.05,0.3504287767525321,0.40808744624039384,0.2092575817385696,0.39297269688499625,0.08267162777128417,0.9269496754215837,0.7078939390611804,0.6619951599171451,0.6900392284584296,0.05,0.46312186462297655,0.47048662222827126,0.20279584899268846
4,0.4256999999999999,False,1,0.0,0.28559999999999997,0.7257999999999999,40.0,0.0,0.4128567120887208,0.13538303140867736,2.074788357815377,0.32075800968716933,2.4158478561723484,1.2074139616062356,0.4653782164536322,0.3247841633745519,0.6357323665425806,0.8363158683122159,0.02654398676730894,0.012024746942297543,0.1450000000000001,0.015000000000000008,0.3912930666725703,0.0574774675549489,0.042297863763423135,0.00158966083592516,0.4975745239848549,0.12222615605396216,0.6095078798379062,0.3793679869967754,0.011124133165318482,0.0,0.3793679869967754,0.21978787137067313,0.05,0.36897539774285903,0.440176751853769,0.26687748614662127,0.409384021919165,0.12350970444871726,0.9329615414826878,0.6868208713919421,0.6427699627621993,0.7796494100888391,0.1031506596642699,0.4938483691275634,0.4464624331592601,0.18069449723989833
5,0.57175,True,1,0.0,0.18350000000000002,1.0,10.0,0.0,0.2741859604308502,0.07859410089166598,1.6665869487020728,0.05250121923268491,1.5394723968505897,0.053020957978594636,0.10423689168121268,0.017419939392705305,3.5002155987118004e-237,0.0,0.015016279343980116,0.002056610236524788,0.125,0.02499999999999997,0.3593,0.03654326203282897,0.04004926995134909,0.000600152591812323,0.34504188879547837,0.08799863502676253,0.8167,0.1791,0.004200000000000001,0.0,0.1791,0.05848324546397883,0.05,0.38857969301597367,0.44447360889967574,0.15719186646478472,0.29686016177489405,0.05,0.9531791016216633,0.6307902807600696,0.7417212118120229,0.7172661697480465,0.09185322546888045,0.458428439582687,0.4467737553710197,0.11304358637327763
6,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.3080441418900652,0.02381970273095947,1.6670813514549203,0.03337578905081132,1.5227000244458522,0.038000176160123446,0.10799267661539276,0.0035283001696771476,0.0012000000000003013,0.003600000000000904,0.015513322569163813,0.0014356964612039756,0.125,0.02499999999999995,0.36360000000000003,0.03953530068179576,0.04019403917350028,0.0004636825064304506,0.38068384985590165,0.03861694424889039,0.8005999999999999,0.19619999999999999,0.0032,0.0,0.19619999999999999,0.003310589071449373,0.05,0.37695666947280515,0.42743263007327936,0.1435218685226784,0.3289318333885953,0.05,0.9575350791155978,0.6315598006286234,0.7075076674745904,0.642925441347534,0.12678825410465047,0.5046210384933022,0.408304949184642,0.06534221717130217
7,0.53005,False,1,0.0,0.20980000000000004,0.9303000000000001,20.0,0.0,0.2987173025815762,0.09098111689903492,1.7606463799070735,0.24078437592920052,1.6934287474216911,0.5471882431830765,0.18399754022636197,0.18738979284141943,0.16158672025800644,0.48476016077401934,0.01716866257880979,0.0034328845476949,0.13500000000000004,0.022912878474779182,0.3751930693069307,0.049498543199221645,0.04062571052696055,0.0016642112925637925,0.3903731106160574,0.10427708816087748,0.7521118811881189,0.24053795379537957,0.00735016501650165,0.0,0.24053795379537957,0.19423170112906685,0.05,0.3444576039323777,0.4076256700097248,0.17193552769061027,0.33149233495757396,0.05,0.9585177525500183,0.6349901257979388,0.8148477172370757,0.6996877650404516,0.05,0.5094128636531283,0.41383530473723623,0.05
8,0.57075,False,1,0.0,0.18150000000000002,1.0,10.0,0.0,0.2517512115114395,0.07215550386513304,1.6602212949974782,0.043050224057166825,1.541987805871189,0.06099733082800385,0.10066102184019377,0.018809563228757764,0.0018000000000003096,0.00540000000000093,0.014792026797112617,0.0014732654318516509,0.10500000000000007,0.01499999999999998,0.35429999999999995,0.030666105067321474,0.04016646643603744,0.0005544487012014482,0.32078102203577413,0.09164376545918085,0.8159000000000001,0.18000000000000002,0.0041,0.0,0.18000000000000002,0.05866856057549052,0.05,0.3417925560699042,0.5056286813156912,0.21149742611619757,0.2627303581160952,0.11575818413781751,0.9739403058846564,0.6300589266116463,0.698216044111745,0.6190496051022489,0.2004196421964903,0.5473203605435999,0.45096288255540967,0.05
9,0.571,False,1,0.0,0.18200000000000002,1.0,10.0,0.0,0.26765358819907614,0.0815742840926974,1.6777525495237313,0.04452485996610226,1.5266000000000002,0.043993635903389464,0.10040445213840513,0.016433635149985075,1.7053126256294545e-242,0.0,0.014500928520287826,0.001726103647802545,0.12000000000000002,0.02449489742783173,0.3466,0.03453751583423451,0.04021325368132063,0.0005931553546522671,0.3255399884162649,0.08332551407828881,0.8131999999999999,0.1794,0.007400000000000001,0.0,0.1794,0.05747729986699097,0.05,0.3664612877322823,0.47028313442832026,0.1358328008239083,0.34683023980012767,0.05,1.0,0.5524211158309439,0.7132980296732765,0.6308220782482925,0.05,0.5126474461540158,0.43143339481224185,0.10067579680983593
