generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,frac_forage,frac_care,frac_self,frac_protect,maternal_fraction,std_maternal_fraction,mutation_sigma,u_forage_child_hunger,u_forage_energy_deficit,u_forage_low_fear,u_care_child_warmth,u_care_closeness_deficit,u_care_bonding,u_self_fatigue,u_self_fear,u_self_stress,u_protect_child_injury,u_protect_fear,u_protect_closeness_deficit,u_protect_bonding
0,0.57205,True,1,0.0,0.1841,1.0,10.0,0.0,0.3061822597975293,0.10190365889836536,1.671261532269611,0.05576202505556577,1.5556999999999999,0.06995434225264363,0.09568058485179014,0.01259613854880565,2.3216759165915806e-242,0.0,0.003978187117570352,0.0013284498120000182,0.04600000000000003,0.009165151389911664,0.10989999999999997,0.03739371604962524,0.019999999999999997,3.469446951953614e-18,0.3076822597975293,0.10239900067397695,0.8253999999999999,0.1714,0.0032,0.0,0.1714,0.05646804406033558,0.0,0.11286999626723468,0.854575928360967,0.48107484469705886,0.07325422006122147,0.14290366730358128,0.07934950088426365,0.9249094292243641,1.0,0.9631430772258828,0.0780392571566183,0.08267810535056747,0.12276598297786234,0.05
1,0.51105,False,1,0.0,0.1421,1.0,30.0,0.0,0.21670959202052242,0.1605682347226477,1.6439902281952439,0.05789232151170369,1.520900000000005,0.04816316019533354,0.0919350012944672,0.021972406285243436,1.6981018492571873e-242,0.0,0.0028285151042462685,0.0020765745373224737,0.04400000000000002,0.017435595774162687,0.08130000000000001,0.05721197427112614,0.019999999999999997,3.469446951953614e-18,0.2180429253538557,0.16101541664271665,0.8722999999999999,0.1085,0.0185,0.0007,0.10919999999999999,0.08516900844790903,0.05,0.12573999253446935,0.8091518567219339,0.4621496893941177,0.05,0.18580733460716253,0.0586990017685273,0.9498188584487283,1.0,1.0,0.0560785143132366,0.06535621070113493,0.14553196595572468,0.05
2,0.5439999999999999,False,1,0.0,0.168,1.0,20.0,0.0,0.2938203633167836,0.13114442297439208,1.6535106614715325,0.041328991117697035,1.5215261339030879,0.034384690832473114,0.09958100439082426,0.021832507200561124,0.004800000000000736,0.009967948635503177,0.0038178443598014034,0.0017047187036403667,0.048000000000000015,0.009797958971132689,0.10700000000000001,0.044400450448165506,0.019999999999999997,3.469446951953614e-18,0.2951536966501169,0.13180707470548453,0.8468,0.1347,0.013000000000000001,0.0055,0.1402,0.07067361601050282,0.05,0.06976572151674404,0.8792214707671541,0.4748591748897846,0.17001103443123858,0.11198153455436186,0.05,0.880428549791354,1.0,0.9551015929175936,0.18955723959821524,0.06272231942429128,0.12548821114609093,0.09420909075975596
3,0.59435,True,1,0.0,0.199,0.9897,0.0,0.0,0.3657200032169374,0.023964985072082515,1.6999565490046546,0.11354611440624923,1.6690555589600578,0.33443419036048955,0.12329953191529612,0.05672559709803983,0.07990000000000087,0.23970000000000263,0.004843920445129781,0.0004467074485410079,0.040000000000000036,0.0,0.14183244147157192,0.019166403170737024,0.019999999999999997,3.291406376790657e-18,0.3672200032169374,0.023477089101853844,0.7987149386845039,0.20106209587513937,0.0002229654403567447,0.0,0.20106209587513937,0.006186287625418058,0.05,0.10747096820008799,0.882356277573558,0.5008201764945677,0.11511447119358635,0.07250975878375242,0.11974197156600877,0.9179952469923136,1.0,0.9438101704502129,0.16099169364621796,0.05,0.19273183229317106,0.05
4,0.48774999999999996,False,1,0.0,0.1355,1.0,40.0,0.0,0.22545421767067184,0.15462987629248906,1.6616145615246019,0.0748940078860631,1.549422222289213,0.05548036692624017,0.08922610422563058,0.022250447850666516,0.011200000000000628,0.033600000000001885,0.002965450612048062,0.001982022131922201,0.04200000000000002,0.010770329614268994,0.0888,0.05151465810815403,0.019999999999999997,3.469446951953614e-18,0.22695421767067187,0.15448598019024473,0.8723000000000001,0.11199999999999999,0.014600000000000002,0.0010999999999999998,0.1131,0.09140399334821209,0.05,0.18392022492988597,0.9434170757362313,0.5515696023337026,0.15652097031107143,0.185824394194262,0.08999418805933733,0.8889317701158929,0.9672052926908067,0.9900676131180566,0.09603362643367527,0.1005583433605381,0.1783098231548374,0.05
5,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.3432613235837786,0.00912764851302848,1.6752355900632643,0.046215491516891374,1.5439000144572934,0.05512977077845192,0.10936287783839904,0.007480282641177338,1.8101917609192549e-242,0.0,0.004547135883005343,0.00017962205276472404,0.040000000000000036,0.0,0.12879999999999997,0.008975522268926752,0.019999999999999997,3.469446951953614e-18,0.3449279902504453,0.009127648513028469,0.8008000000000001,0.198,0.0012000000000000001,0.0,0.198,0.0020493901531919217,0.05,0.05359092332226979,0.8425175894225874,0.4265180474015483,0.14082090947726417,0.11509930200590593,0.16767564342968028,0.8866710445359645,1.0,0.9440704546969905,0.19556828902834417,0.07224310795386558,0.19724580891772328,0.05
6,0.5421,False,1,0.0,0.1642,1.0,20.0,0.0,0.27587358126138045,0.1289770502981683,1.6496390816223054,0.05962363894963526,1.5315,0.04746630383756461,0.09233964688221652,0.02158847311990613,1.0655779462310935e-242,0.0,0.0036144829751365653,0.001695152375181572,0.040000000000000036,0.0,0.1015,0.046074396360668686,0.019999999999999997,3.469446951953614e-18,0.2773735812613804,0.1293297191403646,0.8351000000000001,0.1597,0.005200000000000001,0.0,0.1597,0.07860031806551422,0.05,0.05,0.8480614134294601,0.3917794152009986,0.12736213118031514,0.050138044505366894,0.1516203710745508,0.9119644816439877,1.0,0.8934349919569766,0.19436958551486164,0.05,0.19261749946939366,0.05
7,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.34132483244493456,0.02565033219265755,1.6860599200515956,0.04668856554244112,1.5164000000000002,0.020085815890822024,0.10814308075873284,0.01102027028650388,2.2729015966207804e-242,0.0,0.004471897989339215,0.0003444806974132987,0.040000000000000036,0.0,0.1234,0.011482160075525858,0.019999999999999997,3.469446951953614e-18,0.34315816577826797,0.026105406039773755,0.8008000000000001,0.19840000000000002,0.0008,0.0,0.19840000000000002,0.0018000000000000017,0.05,0.0952355314272364,0.8912235683421077,0.4346589552864533,0.1350963084720474,0.17442272363673822,0.1766652259728392,0.9624931254176388,0.9182983990185941,1.0,0.16468190398398477,0.05,0.19500814251748771,0.05
8,0.53465,False,1,0.0,0.16530000000000003,0.984,20.0,0.0,0.2822893593962597,0.14167456943218432,1.6997935218793363,0.13195607496957457,1.625455555555557,0.34235027708799276,0.11455362716290989,0.06898518761590701,0.07990000000000105,0.23970000000000316,0.0037890400339172375,0.001959667227958142,0.040000000000000036,0.0,0.10633809523809523,0.0580492419398903,0.019999999999999997,3.291406376790657e-18,0.28345602606292636,0.14217279412682882,0.8298904761904762,0.16419047619047622,0.00591904761904762,0.0,0.16419047619047622,0.07988600722066326,0.05,0.12368250617744733,0.8680913755650864,0.4490267105280797,0.08622937293013302,0.16330091071494154,0.181511814366849,0.9530739079736148,0.9978785069372413,1.0,0.17486567358473684,0.05,0.21391761532601092,0.11180701575858348
9,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.34550514183406694,0.02126717678330256,1.695352648894565,0.05194560463828351,1.5464,0.04165621202173817,0.10740243218722403,0.010534148313894705,3.0863556343532106e-242,0.0,0.0045620617020088045,0.00034009657601738154,0.040000000000000036,0.0,0.1285,0.0165665325279613,0.019999999999999997,3.469446951953614e-18,0.34733847516740035,0.021742217723293326,0.8005000000000001,0.199,0.0005,0.0,0.199,0.0,0.05,0.060736941250484906,0.8813058337315204,0.2833719616403233,0.07281499730146057,0.07022075006107215,0.18187130828747047,0.9549814507140723,0.9130075738630585,0.9781522930512068,0.2156387197972464,0.05,0.19130191560251553,0.07981945913757703
