run_dir,csv_path,world,plasticity,init,seed,n_generations,asymp_fitness,asymp_maternal_fraction,asymp_frac_care,asymp_frac_protect,asymp_frac_forage,asymp_frac_self,asymp_child_ttd_norm,asymp_mother_ttd_norm,asymp_u_drift_end,asymp_du_plastic,asymp_du_plastic_peak,asymp_plastic_active_frac,asymp_lr_eff
E2_anti_maternal_seed42,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/E2_anti_maternal_seed42/lineage_generations.csv,,E2,anti_maternal,42,3001,0.62195,0.1537,0.1028,0.0509,0.835,0.0113,0.2676999999999999,1.0,0.0,0.0,0.0,0.0,
E2_anti_maternal_seed43,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/E2_anti_maternal_seed43/lineage_generations.csv,,E2,anti_maternal,43,3001,0.3906,0.1986211926337328,0.0461516515638702,0.1524695410698626,0.76238591055247,0.0389928968137971,0.2474,0.8586,0.0,0.0,0.0,0.0,
E2_anti_maternal_seed44,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/E2_anti_maternal_seed44/lineage_generations.csv,,E2,anti_maternal,44,3001,0.50705,0.3560708131278661,0.3558708131278661,0.0002,0.6415291868721338,0.0024,0.2613,0.7928,0.0,0.0,0.0,0.0,
E2_anti_maternal_seed45,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/E2_anti_maternal_seed45/lineage_generations.csv,,E2,anti_maternal,45,3001,0.50725,0.3191427725442516,0.3191427725442516,0.0,0.674298524218858,0.0065587032368903,0.2489999999999999,0.8007,0.0,0.0,0.0,0.0,
E2_anti_maternal_seed46,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/E2_anti_maternal_seed46/lineage_generations.csv,,E2,anti_maternal,46,3001,0.51085,0.2905540983606557,0.2905540983606557,0.0,0.7046508196721311,0.0047950819672131,0.2214999999999999,0.861,0.0,0.0,0.0,0.0,
E2_anti_maternal_seed47,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/E2_anti_maternal_seed47/lineage_generations.csv,,E2,anti_maternal,47,3001,0.4095,0.4206387875841486,0.4199176695717262,0.0007211180124223,0.5600526892521026,0.0193085231637487,0.2825,0.6613,0.0,0.0,0.0,0.0,
E2_anti_maternal_seed48,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/E2_anti_maternal_seed48/lineage_generations.csv,,E2,anti_maternal,48,3001,0.5995,0.1999,0.1994,0.0005,0.7964,0.0037,0.199,1.0,0.0,0.0,0.0,0.0,
E2_anti_maternal_seed49,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/E2_anti_maternal_seed49/lineage_generations.csv,,E2,anti_maternal,49,3001,0.33525,0.3657442344889153,0.3011118139792272,0.0646324205096881,0.6048949688982164,0.0293607966128682,0.2052,0.7053,0.0,0.0,0.0,0.0,
E2_anti_maternal_seed50,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/E2_anti_maternal_seed50/lineage_generations.csv,,E2,anti_maternal,50,3001,0.4448999999999999,0.1335,0.053,0.0804999999999999,0.8335000000000001,0.033,0.2098,1.0,0.0,0.0,0.0,0.0,
E2_anti_maternal_seed51,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/E2_anti_maternal_seed51/lineage_generations.csv,,E2,anti_maternal,51,3001,0.6132,0.2032999999999999,0.1948,0.0085,0.7958000000000001,0.0009,0.2264,1.0,0.0,0.0,0.0,0.0,
