condition,plasticity_rule,eta,run_id,seed,mother_survival_tick,child_survival_tick,mean_deficit,final_mother_energy,final_child_hunger,final_child_warmth,p_Forage,p_Care,p_Self,p_Protect
fixed,fixed,,0,1000,1000,1000,2.2182907646001113,34.85000000000052,40.0,50.0,0.227,0.748,0.025,0.0
fixed,fixed,,1,1001,1000,800,2.6014000587417256,52.75000000000054,60.0,0.0,0.583,0.357,0.06,0.0
fixed,fixed,,2,1002,367,420,2.6549356274907137,0.0,93.0,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0
fixed,fixed,,3,1003,1000,402,2.612190563578856,63.450000000001545,12.5,0.0,0.87,0.123,0.007,0.0
fixed,fixed,,4,1004,1000,1000,2.4081818978275105,24.800000000000963,60.0,37.999999999997456,0.363,0.271,0.366,0.0
fixed,fixed,,5,1005,1000,1000,2.29755168558481,42.00000000000023,20.0,46.59999999999995,0.261,0.695,0.044,0.0
fixed,fixed,,6,1006,1000,200,1.669545088016047,96.85000000000126,100.0,49.8,0.801,0.199,0.0,0.0
fixed,fixed,,7,1007,1000,200,1.5518513018381563,85.450000000001,100.0,49.8,0.797,0.203,0.0,0.0
fixed,fixed,,8,1008,1000,200,1.6192514935300735,86.20000000000078,100.0,49.8,0.8,0.2,0.0,0.0
fixed,fixed,,9,1009,977,1000,2.2168430604698934,0.0,80.0,3.599999999999633,0.628,0.372,0.0,0.0
fixed,fixed,,10,1010,1000,695,2.248807625115199,75.30000000000156,8.0,0.0,0.626,0.374,0.0,0.0
fixed,fixed,,11,1011,1000,200,1.5298212588175477,79.05000000000096,100.0,49.8,0.794,0.201,0.005,0.0
fixed,fixed,,12,1012,1000,270,1.853976844235254,73.20000000000142,34.5,0.0,0.996,0.004,0.0,0.0
fixed,fixed,,13,1013,1000,250,3.024914060275645,36.80000000000065,48.5,0.0,0.997,0.0,0.003,0.0
fixed,fixed,,14,1014,1000,1000,2.2698135994633115,19.90000000000031,60.0,47.19999999999996,0.332,0.668,0.0,0.0
fixed,fixed,,15,1015,1000,315,2.5840633472403787,22.850000000000094,42.0,0.0,0.986,0.014,0.0,0.0
fixed,fixed,,16,1016,799,880,2.6712946333115575,0.0,100.0,1.1999999999993334,0.6568181818181819,0.32045454545454544,0.022727272727272728,0.0
fixed,fixed,,17,1017,1000,1000,1.992344223048219,42.500000000000554,20.0,47.19999999999996,0.286,0.672,0.042,0.0
fixed,fixed,,18,1018,1000,428,1.987866958701474,43.65000000000184,18.5,0.0,0.832,0.168,0.0,0.0
fixed,fixed,,19,1019,1000,200,1.6093420233478073,97.00000000000023,100.0,49.8,0.801,0.199,0.0,0.0
fixed,fixed,,20,1020,768,445,2.6510847069629713,0.0,62.5,0.0,0.92578125,0.07421875,0.0,0.0
fixed,fixed,,21,1021,508,470,2.320457662071291,0.0,69.0,0.0,0.9133858267716536,0.08661417322834646,0.0,0.0
fixed,fixed,,22,1022,1000,1000,1.6560452377632022,52.75000000000039,20.0,49.19999999999999,0.357,0.608,0.035,0.0
fixed,fixed,,23,1023,1000,250,2.0251539433047925,64.85000000000117,31.0,0.0,1.0,0.0,0.0,0.0
fixed,fixed,,24,1024,1000,250,2.280888773689372,38.90000000000098,18.0,0.0,1.0,0.0,0.0,0.0
fixed,fixed,,25,1025,747,351,2.70160135768771,0.0,32.0,0.0,0.8647925033467202,0.13520749665327977,0.0,0.0
fixed,fixed,,26,1026,1000,265,2.458752646374432,35.050000000000765,30.5,0.0,0.997,0.003,0.0,0.0
fixed,fixed,,27,1027,507,282,3.1641606585235573,0.0,54.0,0.0,0.9368836291913215,0.0631163708086785,0.0,0.0
fixed,fixed,,28,1028,1000,339,2.19099820448988,24.20000000000116,29.5,0.0,0.929,0.071,0.0,0.0
fixed,fixed,,29,1029,1000,250,2.1111409652708524,50.75000000000079,31.0,0.0,1.0,0.0,0.0,0.0
outcome_eta0.001,outcome,0.001,0,1000,1000,1000,2.388251789188533,26.550000000000374,40.0,50.0,0.194,0.806,0.0,0.0
outcome_eta0.001,outcome,0.001,1,1001,1000,696,3.3516827320741984,15.699999999999983,66.5,0.0,0.749,0.226,0.025,0.0
outcome_eta0.001,outcome,0.001,2,1002,550,330,3.613604907138017,0.0,67.5,0.0,0.9709090909090909,0.02909090909090909,0.0,0.0
outcome_eta0.001,outcome,0.001,3,1003,1000,200,1.5633245574700012,79.10000000000005,100.0,49.8,0.795,0.199,0.006,0.0
outcome_eta0.001,outcome,0.001,4,1004,1000,200,1.513908040312721,81.2500000000009,100.0,49.8,0.814,0.179,0.007,0.0
outcome_eta0.001,outcome,0.001,5,1005,1000,1000,2.9368467610381153,21.55000000000031,60.0,47.599999999999966,0.22,0.749,0.031,0.0
outcome_eta0.001,outcome,0.001,6,1006,1000,1000,2.4695746375826055,23.500000000000284,60.0,46.39999999999995,0.323,0.677,0.0,0.0
outcome_eta0.001,outcome,0.001,7,1007,1000,1000,2.5389729411819086,28.000000000000654,40.0,46.59999999999975,0.458,0.526,0.016,0.0
outcome_eta0.001,outcome,0.001,8,1008,1000,200,1.501241006244339,85.55000000000076,100.0,49.8,0.79,0.199,0.011,0.0
outcome_eta0.001,outcome,0.001,9,1009,1000,200,1.7684206870406347,57.50000000000057,100.0,49.8,0.738,0.199,0.063,0.0
outcome_eta0.001,outcome,0.001,10,1010,1000,200,1.4711401675418956,87.50000000000117,100.0,49.8,0.773,0.199,0.028,0.0
outcome_eta0.001,outcome,0.001,11,1011,1000,1000,2.283691317260548,42.100000000000605,40.0,45.59999999999994,0.391,0.572,0.037,0.0
outcome_eta0.001,outcome,0.001,12,1012,1000,200,2.5360971297596206,59.55000000000334,100.0,49.8,0.012,0.199,0.789,0.0
outcome_eta0.001,outcome,0.001,13,1013,1000,1000,2.5777887784958984,25.50000000000034,40.0,50.0,0.413,0.587,0.0,0.0
outcome_eta0.001,outcome,0.001,14,1014,1000,200,1.7465525947718457,77.45000000000122,100.0,49.8,0.811,0.181,0.008,0.0
outcome_eta0.001,outcome,0.001,15,1015,1000,1000,2.0107944191505407,26.10000000000035,40.0,43.19999999999986,0.43,0.57,0.0,0.0
outcome_eta0.001,outcome,0.001,16,1016,1000,345,2.8846314897652543,16.35000000000041,53.5,0.0,0.979,0.02,0.001,0.0
outcome_eta0.001,outcome,0.001,17,1017,1000,1000,2.0105248719036126,57.35000000000014,28.0,47.399999999999935,0.43,0.57,0.0,0.0
outcome_eta0.001,outcome,0.001,18,1018,1000,1000,2.5331534353239427,29.200000000000514,40.0,50.0,0.245,0.755,0.0,0.0
outcome_eta0.001,outcome,0.001,19,1019,1000,1000,3.064523367365854,23.05000000000085,40.0,43.399999999999636,0.502,0.469,0.029,0.0
outcome_eta0.001,outcome,0.001,20,1020,1000,1000,2.423248281855722,30.400000000000546,40.0,50.0,0.219,0.781,0.0,0.0
outcome_eta0.001,outcome,0.001,21,1021,1000,200,1.5604307282538863,82.6000000000003,100.0,49.8,0.787,0.199,0.014,0.0
outcome_eta0.001,outcome,0.001,22,1022,1000,200,1.7930875725302795,83.85000000000126,100.0,49.8,0.816,0.184,0.0,0.0
outcome_eta0.001,outcome,0.001,23,1023,1000,200,1.5355864735963112,91.45000000000105,100.0,49.8,0.792,0.199,0.009,0.0
outcome_eta0.001,outcome,0.001,24,1024,1000,200,1.6536985267468012,88.95000000000125,100.0,49.8,0.801,0.199,0.0,0.0
outcome_eta0.001,outcome,0.001,25,1025,1000,200,1.8379942479086002,70.00000000000097,100.0,49.8,0.782,0.199,0.019,0.0
outcome_eta0.001,outcome,0.001,26,1026,1000,200,1.5978465351869968,85.95000000000046,100.0,49.8,0.783,0.199,0.018,0.0
outcome_eta0.001,outcome,0.001,27,1027,1000,1000,2.1585606641470565,40.950000000000685,40.0,46.39999999999995,0.331,0.646,0.023,0.0
outcome_eta0.001,outcome,0.001,28,1028,1000,1000,3.09877595147964,22.050000000000665,60.0,40.19999999999986,0.494,0.487,0.019,0.0
outcome_eta0.001,outcome,0.001,29,1029,1000,1000,2.8958191357827583,30.05000000000053,40.0,50.0,0.255,0.721,0.024,0.0
