condition,run_id,tick,mother_alive,child_alive,mother_energy,child_hunger,child_warmth,deficit,eta,selected_motivation
fixed,0,1,1,1,99.0,0.5,49.8,0.1409614974422723,,Care
fixed,0,10,1,1,94.50000000000003,5.0,50.0,0.6045184776331712,,Care
fixed,0,20,1,1,93.50000000000009,10.0,50.0,0.695404982777702,,Care
fixed,0,30,1,1,92.50000000000014,15.0,50.0,0.788496382223752,,Care
fixed,0,40,1,1,91.5000000000002,20.0,50.0,0.8817552227882042,,Care
fixed,0,50,1,1,90.50000000000026,25.0,50.0,0.9750267783313837,,Care
fixed,0,60,1,1,89.50000000000031,30.0,50.0,1.0682992994120943,,Care
fixed,0,70,1,1,88.50000000000037,35.0,50.0,1.161571893812843,,Care
fixed,0,80,1,1,87.50000000000043,40.0,50.0,1.2548444937812966,,Care
fixed,0,90,1,1,86.50000000000048,45.0,50.0,1.3481170941725449,,Care
fixed,0,100,1,1,85.50000000000054,50.0,50.0,1.441389694595899,,Care
fixed,0,110,1,1,84.5000000000006,55.0,50.0,1.534662295021691,,Care
fixed,0,120,1,1,83.50000000000065,60.0,50.0,1.6279348954476682,,Care
fixed,0,130,1,1,82.50000000000071,65.0,50.0,1.72120749587366,,Care
fixed,0,140,1,1,81.50000000000077,70.0,50.0,1.8144800962996521,,Care
fixed,0,150,1,1,80.50000000000082,75.0,50.0,1.9077526967256448,,Care
fixed,0,160,1,1,77.70000000000087,60.0,50.0,1.7417384092826622,,Care
fixed,0,170,1,1,76.70000000000093,65.0,50.0,1.8218323950683808,,Care
fixed,0,180,1,1,75.70000000000098,70.0,50.0,1.929122339352188,,Care
fixed,0,190,1,1,72.90000000000103,55.0,50.0,1.8101661674127616,,Care
fixed,0,200,1,1,71.90000000000109,60.0,50.0,1.8572815663814723,,Care
fixed,0,210,1,1,70.90000000000114,65.0,50.0,1.9620663358569859,,Care
fixed,0,220,1,1,66.30000000000118,70.0,48.999999999999986,2.050681560789405,,Forage
fixed,0,230,1,1,65.30000000000123,55.0,50.0,1.9364244252108076,,Care
fixed,0,240,1,1,64.30000000000129,60.0,50.0,2.0327533643991393,,Care
fixed,0,250,1,1,61.5000000000013,45.0,49.999999999999986,1.9563762250549306,,Care
fixed,0,260,1,1,60.500000000001286,50.0,50.0,1.9634767124096875,,Care
fixed,0,270,1,1,59.50000000000127,55.0,50.0,2.065059726588119,,Care
fixed,0,280,1,1,56.70000000000126,60.0,49.39999999999999,2.07242622176073,,Forage
fixed,0,290,1,1,55.700000000001246,45.0,50.0,2.002005894905556,,Care
fixed,0,300,1,1,54.70000000000123,50.0,50.0,2.098237609948586,,Care
fixed,0,310,1,1,53.70000000000122,55.0,50.0,2.2067530055672346,,Care
fixed,0,320,1,1,49.10000000000121,40.0,50.0,2.1094291591271626,,Care
fixed,0,330,1,1,48.100000000001195,45.0,50.0,2.171072402765876,,Care
fixed,0,340,1,1,47.10000000000118,50.0,50.0,2.276961018405223,,Care
fixed,0,350,1,1,44.30000000000117,35.0,50.0,2.1215389605409722,,Care
fixed,0,360,1,1,43.300000000001155,40.0,50.0,2.202243842827029,,Care
fixed,0,370,1,1,42.30000000000114,45.0,50.0,2.3095801767675797,,Care
