condition,run_id,tick,mother_alive,child_alive,mother_energy,child_hunger,child_warmth,deficit,eta,selected_motivation
fixed,0,1,1,1,99.0,1.0,49.5,0.4339157363692857,,Protect
fixed,0,10,1,1,90.9,10.0,45.0,2.779,,Protect
fixed,0,20,1,1,80.9,20.0,40.0,3.0375786437626906,,Protect
fixed,0,30,1,1,77.20000000000005,30.0,35.0,3.359999999999999,,Self
fixed,0,40,1,1,76.2000000000001,40.0,30.0,3.6824767786018935,,Self
fixed,0,50,1,1,75.20000000000016,50.0,25.0,5.089999999999998,,Self
fixed,0,60,1,1,74.20000000000022,60.0,20.0,5.419999999999996,,Self
fixed,0,70,1,1,73.20000000000027,70.0,15.0,5.819999999999997,,Self
fixed,0,80,1,1,72.20000000000033,80.0,10.0,6.259999999999996,,Self
fixed,0,90,1,0,71.20000000000039,88.0,6.0,3.834841310823733,,Self
fixed,0,100,1,0,70.20000000000044,88.0,6.0,3.4075439114606403,,Self
fixed,0,110,1,0,69.2000000000005,88.0,6.0,2.8565027075254044,,Self
fixed,0,120,1,0,67.30000000000055,88.0,6.0,2.4994823097451793,,Forage
fixed,0,130,1,0,75.90000000000057,88.0,6.0,2.288282215057126,,Forage
fixed,0,140,1,0,81.30000000000061,88.0,6.0,2.1850115370801104,,Forage
fixed,0,150,1,0,83.50000000000065,88.0,6.0,2.158260781911328,,Self
fixed,0,160,1,0,85.7000000000007,88.0,6.0,2.162541365174041,,Forage
fixed,0,170,1,0,84.70000000000076,88.0,6.0,2.137300877922679,,Self
fixed,0,180,1,0,87.80000000000081,88.0,6.0,2.14242908597486,,Self
fixed,0,190,1,0,85.90000000000086,88.0,6.0,2.1493589716416373,,Self
fixed,0,200,1,0,84.90000000000092,88.0,6.0,2.1372541969747667,,Self
fixed,0,210,1,0,88.00000000000097,88.0,6.0,2.1491657348274567,,Self
fixed,0,220,1,0,87.00000000000102,88.0,6.0,2.1386028472843517,,Self
fixed,0,230,1,0,90.10000000000107,88.0,6.0,2.1513117557804007,,Self
fixed,0,240,1,0,89.10000000000113,88.0,6.0,2.141161220948793,,Self
fixed,0,250,1,0,87.20000000000118,88.0,6.0,2.152083373541778,,Forage
fixed,0,260,1,0,86.20000000000124,88.0,6.0,2.1420431156462634,,Self
fixed,0,270,1,0,85.2000000000013,88.0,6.0,2.1320222967444433,,Self
fixed,0,280,1,0,88.30000000000135,88.0,6.0,2.1450115304948265,,Self
fixed,0,290,1,0,87.3000000000014,88.0,6.0,2.1350059628568894,,Self
fixed,0,300,1,0,90.40000000000146,88.0,6.0,2.148003083619566,,Self
fixed,0,310,1,0,89.40000000000151,88.0,6.0,2.1380015946565987,,Self
fixed,0,320,1,0,92.50000000000156,88.0,6.0,2.1510008246573578,,Self
fixed,0,330,1,0,91.50000000000162,88.0,6.0,2.1410004264615585,,Self
fixed,0,340,1,0,89.60000000000167,88.0,6.0,2.1520002205394224,,Forage
fixed,0,350,1,0,88.60000000000173,88.0,6.0,2.1420001140492864,,Self
fixed,0,360,1,0,87.60000000000178,88.0,6.0,2.1320000589792043,,Self
fixed,0,370,1,0,90.70000000000184,88.0,6.0,2.1450000305003805,,Self
fixed,0,380,1,0,89.70000000000189,88.0,6.0,2.1350000157729028,,Self
fixed,0,390,1,0,92.80000000000194,88.0,6.0,2.148000008156766,,Self
fixed,0,400,1,0,91.800000000002,88.0,6.0,2.1380000042181746,,Self
fixed,0,410,1,0,94.90000000000205,88.0,6.0,2.1510000021813793,,Self
fixed,0,420,1,0,93.90000000000211,88.0,6.0,2.141000001128076,,Self
fixed,0,430,1,0,97.90000000000217,88.0,6.0,2.1330000005833725,,Forage
fixed,0,440,1,0,96.00000000000222,88.0,6.0,2.1440000003016864,,Self
fixed,0,450,1,0,95.00000000000227,88.0,6.0,2.1340000001560155,,Self
fixed,0,460,1,0,93.10000000000232,88.0,6.0,2.1450000000806844,,Self
fixed,0,470,1,0,92.10000000000238,88.0,6.0,2.1350000000417273,,Self
fixed,0,480,1,0,95.20000000000243,88.0,6.0,2.1480000000215815,,Self
fixed,0,490,1,0,94.20000000000249,88.0,6.0,2.1380000000111634,,Self
fixed,0,500,1,0,97.30000000000254,88.0,6.0,2.1510000000057756,,Self
fixed,0,510,1,0,96.3000000000026,88.0,6.0,2.14100000000299,,Self
fixed,0,520,1,0,100,88.0,6.0,2.133000000001549,,Forage
fixed,0,530,1,0,98.10000000000005,88.0,6.0,2.144000000000805,,Self
fixed,0,540,1,0,97.10000000000011,88.0,6.0,2.1340000000004196,,Self
fixed,0,550,1,0,98.40000000000003,88.0,6.0,2.1470000000002205,,Self
fixed,0,560,1,0,97.40000000000009,88.0,6.0,2.1370000000001177,,Self
fixed,0,570,1,0,98.70000000000002,88.0,6.0,2.1500000000000643,,Self
fixed,0,580,1,0,97.70000000000007,88.0,6.0,2.1400000000000374,,Self
fixed,0,590,1,0,99.9,88.0,6.0,2.132000000000023,,Self
fixed,0,600,1,0,98.00000000000006,88.0,6.0,2.1430000000000162,,Self
fixed,0,610,1,0,97.00000000000011,88.0,6.0,2.1330000000000124,,Self
fixed,0,620,1,0,98.30000000000004,88.0,6.0,2.146000000000011,,Self
fixed,0,630,1,0,97.3000000000001,88.0,6.0,2.13600000000001,,Self
fixed,0,640,1,0,95.40000000000015,88.0,6.0,2.14700000000001,,Self
fixed,0,650,1,0,94.4000000000002,88.0,6.0,2.1370000000000102,,Self
fixed,0,660,1,0,97.50000000000026,88.0,6.0,2.1500000000000097,,Self
fixed,0,670,1,0,96.50000000000031,88.0,6.0,2.1400000000000103,,Self
fixed,0,680,1,0,99.9,88.0,6.0,2.1320000000000103,,Self
fixed,0,690,1,0,98.00000000000006,88.0,6.0,2.1430000000000105,,Self
fixed,0,700,1,0,97.00000000000011,88.0,6.0,2.1330000000000107,,Self
fixed,0,710,1,0,98.30000000000004,88.0,6.0,2.146000000000011,,Self
fixed,0,720,1,0,97.3000000000001,88.0,6.0,2.1360000000000112,,Self
fixed,0,730,1,0,98.60000000000002,88.0,6.0,2.1490000000000116,,Self
fixed,0,740,1,0,97.60000000000008,88.0,6.0,2.139000000000012,,Self
fixed,0,750,1,0,98.9,88.0,6.0,2.1520000000000117,,Forage
fixed,0,760,1,0,97.90000000000006,88.0,6.0,2.1420000000000123,,Self
fixed,0,770,1,0,96.90000000000012,88.0,6.0,2.1320000000000126,,Self
fixed,0,780,1,0,98.20000000000005,88.0,6.0,2.145000000000013,,Self
fixed,0,790,1,0,97.2000000000001,88.0,6.0,2.135000000000013,,Self
fixed,0,800,1,0,98.50000000000003,88.0,6.0,2.148000000000013,,Self
fixed,0,810,1,0,97.50000000000009,88.0,6.0,2.1380000000000137,,Self
fixed,0,820,1,0,98.80000000000001,88.0,6.0,2.1510000000000136,,Self
fixed,0,830,1,0,97.80000000000007,88.0,6.0,2.1410000000000142,,Self
fixed,0,840,1,0,100,88.0,6.0,2.133000000000014,,Forage
fixed,0,850,1,0,98.10000000000005,88.0,6.0,2.1440000000000143,,Self
fixed,0,860,1,0,97.10000000000011,88.0,6.0,2.1340000000000146,,Self
fixed,0,870,1,0,98.40000000000003,88.0,6.0,2.147000000000015,,Self
fixed,0,880,1,0,97.40000000000009,88.0,6.0,2.1370000000000156,,Self
fixed,0,890,1,0,98.70000000000002,88.0,6.0,2.1500000000000155,,Self
fixed,0,900,1,0,97.70000000000007,88.0,6.0,2.1400000000000157,,Self
fixed,0,910,1,0,99.9,88.0,6.0,2.1320000000000157,,Self
fixed,0,920,1,0,98.00000000000006,88.0,6.0,2.1430000000000162,,Self
fixed,0,930,1,0,97.00000000000011,88.0,6.0,2.1330000000000164,,Self
fixed,0,940,1,0,98.30000000000004,88.0,6.0,2.146000000000017,,Self
fixed,0,950,1,0,97.3000000000001,88.0,6.0,2.136000000000017,,Self
fixed,0,960,1,0,98.60000000000002,88.0,6.0,2.149000000000017,,Self
fixed,0,970,1,0,97.60000000000008,88.0,6.0,2.1390000000000176,,Self
fixed,0,980,1,0,98.9,88.0,6.0,2.1520000000000175,,Forage
fixed,0,990,1,0,97.90000000000006,88.0,6.0,2.142000000000018,,Self
fixed,0,1000,1,0,96.90000000000012,88.0,6.0,2.1320000000000183,,Self
fixed,1,1,1,1,99.0,1.0,49.5,0.6987233524890114,,Protect
fixed,1,10,1,1,90.9,10.0,45.0,2.7382549185310463,,Protect
fixed,1,20,1,1,80.9,20.0,40.0,2.8214365698060035,,Protect
fixed,1,30,1,1,76.30000000000004,30.0,35.0,3.414982129241753,,Self
fixed,1,40,1,1,75.3000000000001,40.0,30.0,4.341292650528476,,Self
fixed,1,50,1,1,74.30000000000015,50.0,25.0,4.577431723444638,,Self
fixed,1,60,1,1,73.30000000000021,60.0,20.0,4.877756811898415,,Self
fixed,1,70,1,1,72.30000000000027,70.0,15.0,5.029062782778151,,Self
fixed,1,80,1,1,71.30000000000032,80.0,10.0,5.182812622454491,,Self
fixed,1,90,1,1,70.30000000000038,90.0,5.0,5.3348431704541674,,Self
fixed,1,100,1,0,69.30000000000044,100.0,0.0,2.7542930818242506,,Self
fixed,1,110,1,0,68.3000000000005,100.0,0.0,1.9125945235419315,,Self
fixed,1,120,1,0,67.30000000000055,100.0,0.0,1.9997394068486034,,Self
fixed,1,130,1,0,66.30000000000061,100.0,0.0,2.02050278324201,,Self
fixed,1,140,1,0,65.30000000000067,100.0,0.0,2.0258133103258236,,Self
fixed,1,150,1,0,64.30000000000072,100.0,0.0,2.028729252444079,,Self
fixed,1,160,1,0,63.30000000000073,100.0,0.0,2.031314171272314,,Self
fixed,1,170,1,0,62.300000000000715,100.0,0.0,2.0338556877063425,,Self
fixed,1,180,1,0,61.3000000000007,100.0,0.0,2.0363916721855206,,Self
fixed,1,190,1,0,60.300000000000686,100.0,0.0,2.038926962875317,,Self
fixed,1,200,1,0,58.400000000000674,100.0,0.0,2.0714621673808904,,Self
fixed,1,210,1,0,61.50000000000066,100.0,0.0,2.060269730896844,,Self
fixed,1,220,1,0,60.50000000000065,100.0,0.0,2.0505469526301905,,Self
fixed,1,230,1,0,59.50000000000063,100.0,0.0,2.05295607501822,,Self
fixed,1,240,1,0,57.60000000000062,100.0,0.0,2.0866742150472097,,Self
fixed,1,250,1,0,61.600000000000605,100.0,0.0,2.0301837754339704,,Self
fixed,1,260,1,0,60.60000000000059,100.0,0.0,2.032170534169906,,Self
fixed,1,270,1,0,58.70000000000058,100.0,0.0,2.064701641964593,,Forage
fixed,1,280,1,0,62.700000000000564,100.0,0.0,2.0102919021502994,,Self
fixed,1,290,1,0,61.70000000000055,100.0,0.0,2.011388566396889,,Self
fixed,1,300,1,0,60.700000000000536,100.0,0.0,2.0139129804932625,,Self
fixed,1,310,1,0,63.80000000000054,100.0,0.0,1.9940515972178174,,Self
fixed,1,320,1,0,62.80000000000052,100.0,0.0,1.9906367221457444,,Self
fixed,1,330,1,0,61.80000000000051,100.0,0.0,1.993124542973332,,Self
fixed,1,340,1,0,64.90000000000049,100.0,0.0,1.9795074666650634,,Forage
fixed,1,350,1,0,63.90000000000054,100.0,0.0,1.9700078827406844,,Self
fixed,1,360,1,0,62.900000000000524,100.0,0.0,1.9723370205000361,,Self
fixed,1,370,1,0,61.00000000000051,100.0,0.0,2.0060545654542503,,Self
fixed,1,380,1,0,65.00000000000055,100.0,0.0,1.9495641214169899,,Self
fixed,1,390,1,0,64.00000000000061,100.0,0.0,1.9515508801199979,,Self
fixed,1,400,1,0,62.1000000000006,100.0,0.0,1.9840819879144354,,Forage
fixed,1,410,1,0,65.20000000000059,100.0,0.0,1.9727089494825794,,Forage
fixed,1,420,1,0,64.20000000000064,100.0,0.0,1.9632470427221826,,Self
fixed,1,430,1,0,63.20000000000064,100.0,0.0,1.9655764606910862,,Self
fixed,1,440,1,0,61.30000000000063,100.0,0.0,1.9987292263596217,,Self
fixed,1,450,1,0,65.30000000000067,100.0,0.0,1.9427980443269288,,Self
fixed,1,460,1,0,64.30000000000072,100.0,0.0,1.944790281371674,,Self
fixed,1,470,1,0,62.40000000000073,100.0,0.0,1.977321429899054,,Forage
fixed,1,480,1,0,66.40000000000074,100.0,0.0,1.9238331777426851,,Self
fixed,1,490,1,0,65.4000000000008,100.0,0.0,1.9240154024486107,,Self
fixed,1,500,1,0,64.40000000000086,100.0,0.0,1.926532821126378,,Self
fixed,1,510,1,0,67.50000000000088,100.0,0.0,1.9097454630453974,,Self
fixed,1,520,1,0,66.50000000000094,100.0,0.0,1.9032866976412162,,Self
fixed,1,530,1,0,65.500000000001,100.0,0.0,1.9057445556635473,,Self
fixed,1,540,1,0,68.60000000000102,100.0,0.0,1.891864619825804,,Forage
fixed,1,550,1,0,67.60000000000107,100.0,0.0,1.8826255999196788,,Self
fixed,1,560,1,0,66.60000000000113,100.0,0.0,1.8849567933428963,,Self
fixed,1,570,1,0,64.70000000000118,100.0,0.0,1.9181095722105992,,Self
fixed,1,580,1,0,68.70000000000124,100.0,0.0,1.8625317073431678,,Self
fixed,1,590,1,0,67.7000000000013,100.0,0.0,1.8641732715833994,,Self
fixed,1,600,1,0,66.70000000000135,100.0,0.0,1.8667017955060563,,Self
fixed,1,610,1,0,69.8000000000014,100.0,0.0,1.8431895405594665,,Self
fixed,1,620,1,0,68.80000000000146,100.0,0.0,1.843395569824156,,Self
fixed,1,630,1,0,67.80000000000152,100.0,0.0,1.845913165748712,,Self
fixed,1,640,1,0,70.90000000000157,100.0,0.0,1.8291258089853604,,Self
fixed,1,650,1,0,69.90000000000163,100.0,0.0,1.8226670435909742,,Self
fixed,1,660,1,0,68.90000000000168,100.0,0.0,1.8251249016133781,,Self
fixed,1,670,1,0,67.00000000000173,100.0,0.0,1.859244965775635,,Self
fixed,1,680,1,0,71.00000000000179,100.0,0.0,1.8021391863093952,,Self
fixed,1,690,1,0,70.00000000000185,100.0,0.0,1.804338131378133,,Self
fixed,1,700,1,0,68.1000000000019,100.0,0.0,1.8368708218546714,,Self
fixed,1,710,1,0,72.10000000000196,100.0,0.0,1.7819030442070267,,Self
fixed,1,720,1,0,71.10000000000201,100.0,0.0,1.7835535505351765,,Self
fixed,1,730,1,0,70.10000000000207,100.0,0.0,1.7860821409578334,,Self
fixed,1,740,1,0,73.20000000000212,100.0,0.0,1.7640289795462556,,Self
fixed,1,750,1,0,72.20000000000218,100.0,0.0,1.7627874217347026,,Self
fixed,1,760,1,0,71.20000000000223,100.0,0.0,1.7652935972360744,,Self
fixed,1,770,1,0,74.30000000000229,100.0,0.0,1.7518425251106249,,Self
fixed,1,780,1,0,73.30000000000234,100.0,0.0,1.7420966632702475,,Self
fixed,1,790,1,0,72.3000000000024,100.0,0.0,1.7445056140003232,,Self
fixed,1,800,1,0,70.40000000000245,100.0,0.0,1.7782237527506426,,Self
fixed,1,810,1,0,74.4000000000025,100.0,0.0,1.7215161512145714,,Self
fixed,1,820,1,0,73.40000000000256,100.0,0.0,1.7237184521914435,,Self
fixed,1,830,1,0,71.50000000000261,100.0,0.0,1.7562511676176422,,Self
fixed,1,840,1,0,75.50000000000267,100.0,0.0,1.7018561421205662,,Self
fixed,1,850,1,0,74.50000000000273,100.0,0.0,1.7029382134710604,,Self
fixed,1,860,1,0,73.50000000000279,100.0,0.0,1.7054625189998718,,Self
fixed,1,870,1,0,76.60000000000284,100.0,0.0,1.6833702365903154,,Self
fixed,1,880,1,0,75.6000000000029,100.0,0.0,1.6821674761453564,,Self
fixed,1,890,1,0,74.60000000000295,100.0,0.0,1.684673941018641,,Self
fixed,1,900,1,0,77.700000000003,100.0,0.0,1.6712228710443466,,Self
fixed,1,910,1,0,76.70000000000306,100.0,0.0,1.6614770092199609,,Self
fixed,1,920,1,0,75.70000000000312,100.0,0.0,1.6638859599501556,,Self
fixed,1,930,1,0,73.80000000000317,100.0,0.0,1.697604098700476,,Self
fixed,1,940,1,0,77.80000000000322,100.0,0.0,1.6411136590774138,,Self
fixed,1,950,1,0,76.80000000000328,100.0,0.0,1.6431004178132365,,Self
fixed,1,960,1,0,74.90000000000333,100.0,0.0,1.6756315256079173,,Forage
fixed,1,970,1,0,78.90000000000339,100.0,0.0,1.6212217857936224,,Self
fixed,1,980,1,0,77.90000000000344,100.0,0.0,1.6223184500402115,,Self
fixed,1,990,1,0,76.9000000000035,100.0,0.0,1.624842864136584,,Self
fixed,1,1000,1,0,80.00000000000355,100.0,0.0,1.6053073199131487,,Self
fixed,2,1,1,1,99.0,1.0,49.5,0.7489401710255236,,Protect
fixed,2,10,1,1,91.80000000000001,10.0,45.0,1.9790897294601215,,Protect
fixed,2,20,1,1,82.70000000000002,20.0,40.0,2.358533836409526,,Protect
fixed,2,30,1,1,73.60000000000002,30.0,36.0,2.73893463295521,,Care
fixed,2,40,1,1,69.00000000000006,40.0,35.0,3.0826024859225862,,Care
fixed,2,50,1,1,66.2000000000001,50.0,31.0,3.6436794068736678,,Self
fixed,2,60,1,1,65.20000000000016,60.0,32.0,3.60115879153874,,Care
fixed,2,70,1,1,64.20000000000022,70.0,34.0,3.6110348738544915,,Care
fixed,2,80,1,1,62.30000000000022,80.0,31.0,3.5732785593818424,,Forage
fixed,2,90,1,1,60.400000000000205,70.0,28.0,4.134344114634796,,Self
fixed,2,100,1,1,59.40000000000019,80.0,31.0,3.947634798836813,,Care
fixed,2,110,1,1,54.80000000000018,90.0,27.0,4.034352795446879,,Self
fixed,2,120,1,0,53.80000000000017,100.0,22.0,2.9513825730405827,,Self
fixed,2,130,1,0,56.50000000000016,100.0,22.0,2.7032140918493814,,Self
fixed,2,140,1,0,54.60000000000015,100.0,22.0,2.7358807561604177,,Self
fixed,2,150,1,0,52.70000000000014,100.0,22.0,2.7706328069226167,,Forage
fixed,2,160,1,0,51.700000000000124,100.0,22.0,2.776999707153621,,Forage
fixed,2,170,1,0,55.70000000000011,100.0,22.0,2.719607462895242,,Self
fixed,2,180,1,0,53.8000000000001,100.0,22.0,2.750245312969996,,Forage
fixed,2,190,1,0,52.80000000000008,100.0,22.0,2.7553518297630855,,Self
fixed,2,200,1,0,56.80000000000007,100.0,22.0,2.6961410048684162,,Self
fixed,2,210,1,0,54.900000000000055,100.0,22.0,2.7294684650646435,,Self
fixed,2,220,1,0,58.90000000000004,100.0,22.0,2.6829854027730518,,Self
