condition,plasticity_rule,eta,run_id,seed,mother_survival_tick,child_survival_tick,mean_deficit,final_mother_energy,final_child_hunger,final_child_warmth,p_Forage,p_Care,p_Self,p_Protect
fixed,fixed,,0,1000,1000,100,2.4108776636236486,98.70000000000024,100.0,0.0,0.09,0.0,0.885,0.025
fixed,fixed,,1,1001,1000,100,1.8784207072784815,98.80000000000001,100.0,0.0,0.063,0.0,0.92,0.017
fixed,fixed,,2,1002,1000,120,2.5678746682983995,93.00000000000438,100.0,25.0,0.083,0.043,0.846,0.028
fixed,fixed,,3,1003,1000,12,2.3973690012209583,97.70000000000007,12.0,44.0,0.986,0.001,0.008,0.005
fixed,fixed,,4,1004,974,100,2.939598002510306,0.0,100.0,0.0,0.0,0.003080082135523614,0.9969199178644764,0.0
fixed,fixed,,5,1005,1000,18,1.6719341826423553,97.80000000000007,18.0,41.0,0.084,0.002,0.913,0.001
fixed,fixed,,6,1006,1000,100,2.524864822151968,97.50000000000009,100.0,0.0,0.096,0.001,0.88,0.023
fixed,fixed,,7,1007,1000,100,2.233177761816831,97.70000000000007,100.0,49.5,0.106,0.103,0.791,0.0
fixed,fixed,,8,1008,1000,100,2.5060781736544815,81.90000000000444,100.0,0.0,0.88,0.002,0.118,0.0
fixed,fixed,,9,1009,1000,100,2.345797221451056,97.90000000000006,100.0,39.0,0.888,0.059,0.052,0.001
fixed,fixed,,10,1010,1000,100,2.452931265288073,97.40000000000009,100.0,13.0,0.9,0.015,0.085,0.0
fixed,fixed,,11,1011,1000,100,1.9788715600123987,96.90000000000012,100.0,48.5,0.083,0.096,0.82,0.001
fixed,fixed,,12,1012,1000,43,2.5093324953158658,89.40000000000188,7.0,28.5,0.114,0.003,0.874,0.009
fixed,fixed,,13,1013,1000,100,2.6472455467635156,98.20000000000005,100.0,12.0,0.899,0.013,0.082,0.006
fixed,fixed,,14,1014,1000,93,2.0309483241403767,89.1000000000025,53.0,37.0,0.08,0.066,0.853,0.001
fixed,fixed,,15,1015,1000,12,2.3735771010415463,97.50000000000009,12.0,44.0,0.988,0.005,0.007,0.0
fixed,fixed,,16,1016,1000,95,2.5424746485811864,69.29999999999984,75.0,32.5,0.065,0.047,0.866,0.022
fixed,fixed,,17,1017,1000,100,2.364101997249914,97.50000000000009,100.0,0.0,0.114,0.0,0.879,0.007
fixed,fixed,,18,1018,1000,27,2.3915683006337742,98.9,27.0,36.5,0.971,0.001,0.028,0.0
fixed,fixed,,19,1019,1000,100,2.3968257439433853,97.10000000000068,100.0,5.0,0.097,0.011,0.872,0.02
fixed,fixed,,20,1020,1000,100,2.488891619568517,97.70000000000007,100.0,16.0,0.102,0.017,0.864,0.017
fixed,fixed,,21,1021,1000,100,2.620734355588275,97.70000000000007,100.0,0.0,0.899,0.0,0.07,0.031
fixed,fixed,,22,1022,1000,45,2.151721821365535,98.30000000000004,45.0,27.5,0.091,0.0,0.891,0.018
fixed,fixed,,23,1023,1000,14,2.388663997018009,97.50000000000009,14.0,43.0,0.983,0.001,0.016,0.0
fixed,fixed,,24,1024,1000,18,2.3883756672359557,97.70000000000007,18.0,41.0,0.978,0.0,0.022,0.0
fixed,fixed,,25,1025,1000,100,2.523725172038614,97.80000000000007,100.0,27.5,0.9,0.055,0.045,0.0
fixed,fixed,,26,1026,1000,46,2.453537711649383,97.2000000000001,26.0,36.0,0.973,0.009,0.012,0.006
fixed,fixed,,27,1027,1000,100,2.5845331247680496,98.10000000000005,100.0,0.0,0.897,0.0,0.091,0.012
fixed,fixed,,28,1028,1000,107,2.4227368950398067,98.30000000000004,67.0,17.5,0.908,0.042,0.05,0.0
fixed,fixed,,29,1029,1000,100,2.5897265753106677,98.10000000000005,100.0,0.0,0.892,0.0,0.083,0.025
outcome_eta0.001,outcome,0.001,0,1000,1000,114,2.504546315223822,97.80000000000007,94.0,0.0,0.173,0.007,0.816,0.004
outcome_eta0.001,outcome,0.001,1,1001,1000,100,2.601531384906329,79.30000000000237,100.0,12.0,0.068,0.014,0.883,0.035
outcome_eta0.001,outcome,0.001,2,1002,1000,70,2.3099215471704397,88.20000000000482,70.0,15.0,0.109,0.0,0.886,0.005
outcome_eta0.001,outcome,0.001,3,1003,1000,12,2.2647796284552997,96.60000000000525,12.0,44.0,0.112,0.004,0.881,0.003
outcome_eta0.001,outcome,0.001,4,1004,1000,100,2.341985604880321,99.80000000000001,100.0,5.0,0.096,0.005,0.885,0.014
outcome_eta0.001,outcome,0.001,5,1005,1000,16,2.407922400696475,98.10000000000005,16.0,42.0,0.958,0.004,0.038,0.0
outcome_eta0.001,outcome,0.001,6,1006,1000,29,2.4303136530488074,78.90000000000495,29.0,35.5,0.547,0.006,0.442,0.005
