condition,plasticity_rule,eta,run_id,seed,mother_survival_tick,child_survival_tick,mean_deficit,final_mother_energy,final_child_hunger,final_child_warmth,p_Forage,p_Care,p_Self,p_Protect
fixed,fixed,,0,1000,1000,296,2.8735755611249534,55.59999999999966,76.0,0.0,0.106,0.098,0.714,0.082
fixed,fixed,,1,1001,1000,164,2.3992577775865467,59.59999999999944,84.0,0.0,0.079,0.033,0.846,0.042
fixed,fixed,,2,1002,1000,180,2.605700650604345,73.9000000000006,100.0,2.0,0.416,0.08,0.504,0.0
fixed,fixed,,3,1003,1000,100,2.9443665962619314,97.2000000000001,40.0,0.0,0.55,0.001,0.449,0.0
fixed,fixed,,4,1004,929,120,2.791393008872752,0.0,100.0,31.5,0.007534983853606028,0.077502691065662,0.9149623250807319,0.0
fixed,fixed,,5,1005,668,211,2.923284285913412,0.0,51.0,0.0,0.0688622754491018,0.1347305389221557,0.7964071856287425,0.0
fixed,fixed,,6,1006,1000,100,2.1530077210950935,97.60000000000008,100.0,49.5,0.103,0.099,0.798,0.0
fixed,fixed,,7,1007,1000,100,2.1338124133429304,97.90000000000006,100.0,49.5,0.105,0.103,0.792,0.0
fixed,fixed,,8,1008,1000,100,2.280029294395157,98.60000000000002,100.0,49.5,0.9,0.1,0.0,0.0
fixed,fixed,,9,1009,1000,220,2.4717919883635266,79.80000000000052,100.0,16.5,0.862,0.138,0.0,0.0
fixed,fixed,,10,1010,1000,240,2.457614324269419,94.30000000000267,100.0,23.0,0.856,0.144,0.0,0.0
fixed,fixed,,11,1011,1000,100,1.7855531609139048,96.90000000000012,100.0,49.5,0.078,0.102,0.82,0.0
fixed,fixed,,12,1012,1000,116,2.465005020377884,96.20000000000219,46.0,0.0,0.168,0.009,0.821,0.002
fixed,fixed,,13,1013,1000,100,3.108079612628056,61.39999999999908,47.0,0.0,0.093,0.0,0.907,0.0
fixed,fixed,,14,1014,632,200,2.5798449035450712,0.0,100.0,29.5,0.14082278481012658,0.18037974683544303,0.6772151898734177,0.0015822784810126582
fixed,fixed,,15,1015,1000,144,2.622848312897722,94.40000000000212,58.0,0.0,0.978,0.022,0.0,0.0
fixed,fixed,,16,1016,1000,180,2.6436384461865496,59.29999999999918,100.0,5.0,0.17,0.049,0.755,0.026
fixed,fixed,,17,1017,1000,100,1.9582232830645547,97.00000000000011,100.0,30.0,0.116,0.03,0.634,0.22
fixed,fixed,,18,1018,1000,154,2.542114298433351,76.20000000000164,54.0,0.0,0.946,0.054,0.0,0.0
