condition,run_id,tick,mother_alive,child_alive,mother_energy,child_hunger,child_warmth,deficit,eta,selected_motivation
fixed,0,1,1,1,99.0,1.0,49.5,0.1700798262401107,,Protect
fixed,0,10,1,1,94.50000000000003,10.0,45.0,0.8620861553455018,,Protect
fixed,0,20,1,1,93.50000000000009,20.0,40.0,1.1535333106733139,,Protect
fixed,0,30,1,1,92.50000000000014,30.0,36.0,1.4295984052857191,,Care
fixed,0,40,1,1,91.5000000000002,40.0,36.0,1.6078915190045036,,Care
fixed,0,50,1,1,90.50000000000026,50.0,36.0,1.775329249339242,,Care
fixed,0,60,1,1,89.50000000000031,60.0,36.0,1.9419422262159889,,Care
fixed,0,70,1,1,88.50000000000037,70.0,36.0,2.108492573776986,,Care
fixed,0,80,1,1,87.50000000000043,80.0,36.0,2.2750381654546907,,Care
fixed,0,90,1,1,84.70000000000047,90.0,34.0,2.2411622808244758,,Forage
fixed,0,100,1,1,81.90000000000052,80.0,36.0,2.398733726355732,,Care
fixed,0,110,1,1,79.10000000000056,90.0,34.0,2.3408787400204236,,Forage
fixed,0,120,1,1,76.30000000000061,80.0,36.0,2.5417917277373725,,Care
fixed,0,130,1,1,75.30000000000067,90.0,33.0,2.7540386925264917,,Forage
fixed,0,140,1,0,74.30000000000072,100.0,28.0,1.5095991726080609,,Protect
fixed,0,150,1,0,73.30000000000078,100.0,28.0,1.4546967918258575,,Forage
fixed,0,160,1,0,73.70000000000081,100.0,28.0,1.7548757100166945,,Forage
fixed,0,170,1,0,72.70000000000087,100.0,28.0,1.8496827519869663,,Forage
fixed,0,180,1,0,71.70000000000093,100.0,28.0,1.8924081437643099,,Forage
fixed,0,190,1,0,70.70000000000098,100.0,28.0,1.9124936848771383,,Forage
fixed,0,200,1,0,69.70000000000104,100.0,28.0,1.923911001875629,,Forage
fixed,0,210,1,0,72.80000000000109,100.0,28.0,1.8943188992303313,,Forage
fixed,0,220,1,0,71.80000000000115,100.0,28.0,1.8958644192740617,,Forage
