tick,plasticity_this_tick,m0_energy,m0_fatigue,m0_bonding,m0_fear_threat,m0_stress,m0_closeness_child,m0_OT,m0_CORT,m0_mot_Forage,m0_mot_Care,m0_mot_Self,m0_mot_Protect,m0_sel_Forage,m0_sel_Care,m0_sel_Self,m0_sel_Protect,c0_hunger,c0_warmth,c0_injury
1,0,99.5,0.5,99.75,27.928932188134524,0.16666666666666666,25.857864376269045,0.0,18.785954792089683,9.85584852604722,21.97902189397715,1.4132245959041199,21.540152810580885,0,1,0,0,0.5,49.5,0.0
2,0,99.0,1.0,99.25,39.82233047033631,15.988295660074735,35.857864376269056,0.0,26.964886980224207,8.432155024908134,16.299970930338326,8.532667909126337,24.928079573643835,0,0,0,1,1.0,49.0,0.0
3,0,98.5,1.5,98.5,43.69796179957173,30.756553646890875,45.857864376269056,0.0,29.840307866381153,8.085545003450218,10.60280321181172,14.848054472481666,24.486470117779316,0,0,0,1,1.5,48.5,0.0
4,0,98.0,2.0,97.5,43.56470965232396,40.55770004542973,55.85786437626905,0.0,30.06397310154931,8.277476721832889,11.885377238171953,19.00227963945597,24.784654428896012,0,0,0,1,2.0,48.0,0.0
5,0,97.5,2.5,96.25,38.498083578700076,45.655077607339294,65.85786437626905,0.0,27.009139052466722,9.132143536703193,18.098067708618963,21.05507579581798,24.60334937401274,0,0,0,1,2.5,47.5,0.0
6,0,97.0,3.0,94.75,30.964770541888136,45.663279680725246,75.85786437626905,0.0,22.315055361258757,10.318177899817318,24.292641424178175,20.97274369495831,23.239110598535344,0,1,0,0,3.0,47.0,0.0
7,0,96.5,3.5,100.0,22.198114023482173,41.75824847474492,85.85786437626905,42.928932188134524,16.801346848988114,11.669896037053348,30.97636752170779,19.280640589530044,21.472745635864662,0,1,0,0,3.5,46.5,0.0
8,0,96.2,3.6,100.0,14.885853576144656,35.21227786152922,100.0,71.46446609406726,12.258537800763106,12.82623483859025,39.753758366081044,16.612449863877504,21.19495583683546,0,1,0,0,4.0,50.0,0.0
9,0,95.9,3.7,100.0,18.30079116434138,27.265380500844973,100.0,85.73223304703363,13.978956262338698,12.541513073622715,37.44215959750146,13.684467353612241,22.823104299696073,0,1,0,0,4.5,50.0,0.0
10,0,95.60000000000001,3.8000000000000003,100.0,25.008259958439744,25.05927272598251,100.0,92.86611652351681,18.228054382015387,11.814482248163056,37.44215959750146,13.189594508418587,26.021041223797685,0,1,0,0,5.0,50.0,0.0
11,0,95.30000000000001,3.9000000000000004,100.0,33.36199435548892,27.663963365365184,100.0,96.4330582617584,23.741492330742616,10.86629689245733,37.44215959750146,14.679992835116234,30.003872378519777,0,1,0,0,5.5,50.0,0.0
12,0,95.00000000000001,4.0,100.0,42.53886155401351,33.64425502253755,100.0,98.2165291308792,29.887100193995117,9.807534271628574,37.44215959750146,17.547384917437284,34.37915064855213,0,1,0,0,6.0,50.0,0.0
13,0,94.50000000000001,4.5,100.0,50.05622734141033,41.797448093938314,100.0,99.1082645654396,34.968081139933275,8.971704240998392,37.44215959750146,21.19555164237001,37.963224218099896,0,0,0,1,6.5,49.5,0.0
14,0,94.00000000000001,5.0,100.0,50.885978046974216,50.24016020741703,85.85786437626905,92.48306447085432,35.722616820812675,9.034268958602182,29.32522554415095,24.858067260849595,35.150331391470615,0,0,0,1,7.0,49.0,0.0
15,0,93.70000000000002,5.1,100.0,48.37192121162163,55.156278392970805,100.0,96.24153223542716,34.31392986916269,9.546031050322958,38.1026163885242,26.962182461857758,37.16019330893173,0,1,0,0,7.5,50.0,0.0
16,0,93.40000000000002,5.199999999999999,100.0,44.18596060581082,56.14008955674684,100.0,98.12076611771357,31.49029826791468,10.282391829102231,37.44215959750146,27.205575572207696,35.16444224469491,0,1,0,0,8.0,50.0,0.0
