generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
0,0.6592,True,0,0.0,0.37729999999999997,0.9410999999999999,0.0,0.0,0.0,0.0,1.8783814089971405,0.20123111367552243,1.649791666665804,0.34128842732100295,0.386198593554312,0.15955275796682142,0.0796999999999999,0.2390999999999997,0.0
1,0.6842,True,0,0.0,0.3684,1.0,0.0,0.0,0.0,0.0,1.8041832790853298,0.12686137058702945,1.5326000000009625,0.0549894535365736,0.297989452319114,0.07101934236832459,0.0,0.0,0.05
2,0.6465000000000001,False,0,0.0,0.32799999999999996,0.9650000000000001,0.0,0.0,0.0,0.0,1.808951371433169,0.2865748154626434,1.6571872691582061,0.3444462243113779,0.28436092812347086,0.16731269976595192,0.07950000000000013,0.2385000000000004,0.05
3,0.63285,False,0,0.0,0.3859,0.8798,0.0,0.0,0.0,0.0,1.928651259148214,0.27615008942708524,1.9083589582621425,0.8030758639319381,0.444036728436301,0.2322435686998294,0.2331999999999998,0.4942875276597616,0.05
4,0.6386499999999999,False,0,0.0,0.3414,0.9359,0.0,0.0,0.0,0.0,1.7981508929854697,0.15544894075288987,1.6632555555555555,0.33273688136757923,0.32298119972043926,0.16949850641682768,0.07990000000000017,0.23970000000000044,0.05
5,0.64995,False,0,0.0,0.35819999999999996,0.9417,0.0,0.0,0.0,0.0,1.8429083907402792,0.17656912638813577,1.6392018280785101,0.3399316085991017,0.33033461002961273,0.17771152516316002,0.09120000000000059,0.23803898840316104,0.05
6,0.6432,False,0,0.0,0.39239999999999997,0.8939999999999999,0.0,0.0,0.0,0.0,1.9184967625066576,0.18750083007897897,1.7679266639367213,0.4498126672961232,0.4097344417296506,0.20016780984589735,0.15950000000000036,0.3190000783698971,0.05
7,0.6505,False,0,0.0,0.301,1.0,0.0,0.0,0.0,0.0,1.7324614959925533,0.1288093202800018,1.5550666666666675,0.058546050251064706,0.24132072597103313,0.11505932618986084,0.012200000000000571,0.036600000000001714,0.05
8,0.6258999999999999,False,0,0.0,0.3671,0.8846999999999999,0.0,0.0,0.0,0.0,1.8729818180667503,0.18480419323825475,2.0486667685527005,1.0312006320245195,0.4160804925575012,0.21207356944215175,0.3284000000000005,0.621119988408037,0.05
9,0.6677,False,0,0.0,0.33540000000000003,1.0,0.0,0.0,0.0,0.0,1.7566112834189256,0.09365978789097247,1.5202888888888897,0.05761053144463754,0.27227047148488365,0.05583073292288654,0.013600000000000478,0.04080000000000143,0.05
10,0.57675,False,0,0.0,0.333,0.8205,0.0,0.0,0.0,0.0,1.9170688862693557,0.2817241071883595,1.8778889691398128,0.5357187089691918,0.43226793822616927,0.27176005933261693,0.2401000000000006,0.3654538137713167,0.05
11,0.55055,False,0,0.0,0.3413,0.7597999999999999,0.0,0.0,0.0,0.0,1.9225297046731853,0.2662932135274625,2.2326203864040597,0.91726651681662,0.5024614527613801,0.2928904307680425,0.4687000000000001,0.6207017077469662,0.05
12,0.54645,False,0,0.0,0.33049999999999996,0.7624000000000001,0.0,0.0,0.0,0.0,1.9194472258389215,0.28930274868310546,2.1013100316462774,0.8283944164077574,0.4797213343839566,0.278377687538555,0.3965000000000002,0.5297494218968061,0.05
13,0.63315,False,0,0.0,0.3811,0.8852,0.0,0.0,0.0,0.0,1.9226589416755129,0.20894453004468963,1.743303693243384,0.4599171900939227,0.4395156832320907,0.22245604700990623,0.15970000000000004,0.31940007827175004,0.05
14,0.6724000000000001,False,0,0.0,0.39180000000000004,0.9530000000000001,0.0,0.0,0.0,0.0,1.8375572576433137,0.13963299198376955,1.631411111111111,0.33979030952110006,0.3400884063368572,0.11973471423822114,0.07980000000000018,0.23940000000000053,0.05
15,0.6731,False,0,0.0,0.3462,1.0,0.0,0.0,0.0,0.0,1.7716206694740255,0.1297219731257586,1.5516,0.06964222856859198,0.2780448366563513,0.07756387286236376,0.0,0.0,0.05
16,0.6125,False,0,0.0,0.3513,0.8737,0.0,0.0,0.0,0.0,1.8777859351902368,0.2135915266210791,1.754810216132983,0.4518634493408285,0.4044690316168638,0.2198272218424866,0.15950000000000034,0.31900070532837455,0.05
17,0.6035,False,0,0.0,0.39540000000000003,0.8116,0.0,0.0,0.0,0.0,1.983440955459649,0.14645500634076355,1.8502196134363083,0.5231067077156268,0.49684486126201016,0.20146783801427404,0.24070000000000036,0.3650739788042965,0.05
18,0.68145,False,0,0.0,0.36289999999999994,1.0,0.0,0.0,0.0,0.0,1.8222608757438468,0.10658593060723702,1.555161284722308,0.06125695609823897,0.31852294843770323,0.04644501435628834,0.0,0.0,0.05
19,0.5063,False,0,0.0,0.38539999999999996,0.6272,0.0,0.0,0.0,0.0,2.090849337313883,0.21054225838244608,2.491619973236208,0.8781772722756688,0.6603850474333235,0.24228038108726724,0.6427999999999997,0.6037343455527439,0.05
20,0.63695,False,0,0.0,0.36719999999999997,0.9067000000000001,0.0,0.0,0.0,0.0,1.9154490446736123,0.2506817295892157,1.7464666666865358,0.45160668673022586,0.40492790691621244,0.19369981117742838,0.16500000000000076,0.31643419537085454,0.05
21,0.5610999999999999,False,0,0.0,0.36819999999999997,0.754,0.0,0.0,0.0,0.0,1.9803522439665866,0.24083283111183915,1.996430578158249,0.5372540122465898,0.5381886871212204,0.25529552765836394,0.3194999999999999,0.3913065933510448,0.05
22,0.6015,False,0,0.0,0.3765,0.8265,0.0,0.0,0.0,0.0,1.874086268358917,0.1909490986958498,1.867124823847067,0.5071680795767649,0.42512122877657177,0.22690638823341724,0.2391000000000006,0.36523210428438607,0.05
23,0.6629,False,0,0.0,0.3258,1.0,0.0,0.0,0.0,0.0,1.7443298291004328,0.16435210107772716,1.5281001703686392,0.036079253635113336,0.25534871804158904,0.12219358731270219,0.0,0.0,0.05
24,0.6291000000000001,False,0,0.0,0.32180000000000003,0.9364000000000001,0.0,0.0,0.0,0.0,1.7930318603959123,0.150080975104864,1.6687554238176154,0.3307609596531129,0.3183811800956501,0.18763452143892467,0.07990000000000005,0.23970000000000014,0.05
25,0.6736,False,0,0.0,0.3472,1.0,0.0,0.0,0.0,0.0,1.7716080227451378,0.11454262856285025,1.5590988007556363,0.06650615861152556,0.2839296193135715,0.06405581847798456,0.016500000000000882,0.04533265930871619,0.05
26,0.4962,False,0,0.0,0.3419,0.6505,0.0,0.0,0.0,0.0,1.953045827341151,0.18975665745718193,2.2235027037823785,0.5278988931278864,0.542936589565624,0.24216508768380376,0.478300000000001,0.3905322137801191,0.05
27,0.64095,False,0,0.0,0.3452,0.9367000000000001,0.0,0.0,0.0,0.0,1.82088547444758,0.15728938976562407,1.65315555555556,0.3401300992920865,0.33178775589242004,0.15877374383079912,0.0799000000000002,0.23970000000000058,0.05
28,0.5982000000000001,False,0,0.0,0.32530000000000003,0.8711,0.0,0.0,0.0,0.0,1.810965049979507,0.17212831624580952,1.9104873233406636,0.7839826718806293,0.39248908761083867,0.2225064554395048,0.23889999999999995,0.5094868889382728,0.05
29,0.65095,False,0,0.0,0.36069999999999997,0.9412,0.0,0.0,0.0,0.0,1.8160677454518226,0.12980238051296156,1.6190111520449342,0.34358416764579874,0.3434552576112459,0.1394798992053989,0.07980000000000022,0.23940000000000064,0.05
30,0.6122000000000001,False,0,0.0,0.33320000000000005,0.8912000000000001,0.0,0.0,0.0,0.0,1.8211893903970016,0.17903164394426832,1.7329135530743986,0.4567126770863237,0.3682455711739546,0.1959392096761212,0.15980000000000036,0.3196000000000007,0.05
31,0.68525,True,0,0.0,0.3705,1.0,0.0,0.0,0.0,0.0,1.7689167284288743,0.10162531687611823,1.5385,0.0439596405808783,0.30695402948286626,0.07618625280445873,0.0,0.0,0.05
32,0.57535,False,0,0.0,0.3458,0.8049,0.0,0.0,0.0,0.0,1.8965934073450044,0.20237835660678832,1.8968843446424875,0.5014136950156585,0.43782980187263415,0.23920957123011669,0.23960000000000042,0.36599540980728223,0.05
33,0.62945,False,0,0.0,0.31779999999999997,0.9410999999999999,0.0,0.0,0.0,0.0,1.7957772358560706,0.13050854195229594,1.6578563687377705,0.33640175457904653,0.3144623561615079,0.1421169524296791,0.07990000000000017,0.2397000000000005,0.05
34,0.6238999999999999,False,0,0.0,0.3618,0.8859999999999999,0.0,0.0,0.0,0.0,1.9031005106292156,0.1817556579818588,1.7467555555555552,0.4548281042816544,0.424728386299027,0.19193217381642458,0.1595999999999997,0.31920031328305365,0.05
35,0.6778500000000001,False,0,0.0,0.3557,1.0,0.0,0.0,0.0,0.0,1.8057589685247257,0.1514322855546616,1.5137000000000003,0.03080925185719374,0.2837650075433151,0.1157922241985,0.0,0.0,0.05
36,0.64365,False,0,0.0,0.40790000000000004,0.8794000000000001,0.0,0.0,0.0,0.0,1.9916128869710796,0.20369347872332955,1.8951585657627863,0.7989503595726227,0.47290840328434625,0.20821758352688474,0.24179999999999988,0.5171933487584695,0.05
37,0.66955,False,0,0.0,0.33909999999999996,1.0,0.0,0.0,0.0,0.0,1.7732640688540162,0.06167722408168972,1.5113000000020826,0.01740143672477123,0.3012086688627617,0.02857494488485732,0.0,0.0,0.05
38,0.6697000000000001,False,0,0.0,0.38500000000000006,0.9544,0.0,0.0,0.0,0.0,1.8046349786589855,0.10576031757501823,1.7858949018029222,0.6754457942197172,0.33154420669667306,0.13560971136918515,0.1703000000000012,0.45083967216739107,0.05
39,0.617,False,0,0.0,0.3584,0.8756,0.0,0.0,0.0,0.0,1.8392837224246654,0.1375634429970095,1.742346094368406,0.4542906514210994,0.39631905533909373,0.19594755268636518,0.15960000000000035,0.3192000000000007,0.05
40,0.60595,False,0,0.0,0.377,0.8349,0.0,0.0,0.0,0.0,1.941454808707808,0.21335507322286124,1.9010514329303212,0.49478445994018794,0.44938993218816475,0.2206378121206951,0.23970000000000047,0.36614779802697234,0.05
