generation,fitness,accepted,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
0,0.6311,True,0.0,0.473,1.0,0.0,0.0,0.4072238321316905,0.05146339823039655,2.066042741130263,0.2316648975241586,1.507159201918708,0.01409446124299989,0.4007113491563342,0.14002741714910188,0.0,0.0,0.0
1,0.62452,False,0.0,0.4635999999999999,1.0,0.0,0.0,0.4249717536164496,0.06493713977079908,2.071289425332748,0.2729052810568933,1.5155999999999998,0.017590906741836786,0.3855116151634609,0.14564335148792185,0.0,0.0,0.05
2,0.64083,True,0.0,0.4868999999999999,1.0,0.0,0.0,0.42031300398002613,0.08676205078551459,2.0358123156003893,0.1864357862725264,1.5087,0.010060318086422528,0.38907875810533465,0.12885537087435517,0.0,0.0,0.05
3,0.60254,False,0.0,0.4321999999999999,1.0,0.0,0.0,0.3566587116647334,0.03281880479316953,1.9882477600757202,0.26658865303879115,1.5104,0.016261611236282805,0.34982987000192034,0.1610681701238826,0.0,0.0,0.05
4,0.6388,False,0.0,0.484,1.0,0.0,0.0,0.43887967053184207,0.07482538672341234,2.0433543942127708,0.2648757329440322,1.5097835069444454,0.01988480585129173,0.3899442631034488,0.16098826467559768,0.0,0.0,0.05
5,0.5928100000000001,False,0.0,0.4183,1.0,0.0,0.0,0.40481615203445054,0.07692254520730808,1.8915990981505715,0.2368706597078777,1.5178,0.017814600753314636,0.3117590768264544,0.14702146259791443,0.0,0.0,0.05
6,0.6399900000000001,False,0.0,0.48570000000000013,1.0,0.0,0.0,0.4093398433873833,0.05491202646962031,2.084689277580268,0.23650606304315275,1.5103000000000002,0.016229910659027024,0.3912411636116325,0.11443974370908253,0.0,0.0,0.05
7,0.58945,False,0.0,0.4135,1.0,0.0,0.0,0.4105752610221806,0.08173406586411171,1.9345364520614918,0.24817594741017557,1.5093,0.01618054387219413,0.32065957289287467,0.16060384323639235,0.0,0.0,0.05
8,0.63131,False,0.0,0.47330000000000005,1.0,0.0,0.0,0.4326616260668768,0.07772857704635183,2.048224052771256,0.2558895871776466,1.502200000001079,0.004399999999460657,0.3958563636121319,0.16644974664077936,0.0,0.0,0.05
9,0.60975,False,0.0,0.4425,1.0,0.0,0.0,0.42629317240216774,0.07118528956436833,1.9625115628370184,0.22919284891939054,1.5063,0.012353542002195147,0.34445237031424986,0.1227786192419503,0.0,0.0,0.05
10,0.60877,False,0.0,0.44109999999999994,1.0,0.0,0.0,0.4126305193637513,0.07740989076324768,2.0094943297806633,0.3533987611009893,1.5171,0.017426703646989544,0.35286648889631345,0.2004796884943465,0.0,0.0,0.05
11,0.60345,False,0.0,0.4335000000000001,1.0,0.0,0.0,0.3854675317477959,0.07594690466454447,2.0081168769806466,0.29494561179323175,1.5173,0.030825476476447195,0.3542143748528016,0.16460515538497553,0.0,0.0,0.05
12,0.64972,True,0.0,0.49959999999999993,1.0,0.0,0.0,0.4487144116776012,0.08691287639683826,2.0733461713153476,0.2519548986522397,1.5185,0.02879670119996385,0.404335319502006,0.16342833573617085,0.0,0.0,0.05
13,0.58469,False,0.0,0.4067,1.0,0.0,0.0,0.40609232522636407,0.06434886492733843,1.9621187107234797,0.2321176187038088,1.5126,0.017275416058665526,0.33486053885925443,0.12757020403753583,0.0,0.0,0.05
14,0.63019,False,0.0,0.47169999999999995,1.0,0.0,0.0,0.43575329478916514,0.0917917655208277,2.002982665591884,0.2227615691873422,1.5091999999999999,0.016061133210331077,0.3759046223065262,0.13595851208321466,0.0,0.0,0.05
15,0.60156,False,0.0,0.43079999999999996,1.0,0.0,0.0,0.389258811865847,0.05554230210080574,1.9553892192476987,0.16137944897008694,1.5089000000000001,0.017868687696638495,0.3378885902194221,0.10862083438334696,0.0,0.0,0.05
16,0.59442,False,0.0,0.4206,1.0,0.0,0.0,0.40422654634006483,0.062275954998548266,1.9463397576229169,0.2621323143089654,1.5096,0.016782133356638536,0.3428778212056839,0.1594394393291164,0.0,0.0,0.05
17,0.6099600000000001,False,0.0,0.44279999999999997,1.0,0.0,0.0,0.42771536097665164,0.08547541123393797,2.0169148156767323,0.30930745869970483,1.5100000000000002,0.02040098036859991,0.3689170323885898,0.17947053003928617,0.0,0.0,0.05
18,0.6588200000000001,True,0.0,0.5126000000000001,1.0,0.0,0.0,0.43524000945117675,0.1037371190875147,2.1497354353969715,0.2970441715665283,1.5118000000000003,0.018856298682403363,0.4428295488541486,0.16436123992366855,0.0,0.0,0.05
19,0.63964,False,0.0,0.48519999999999996,1.0,0.0,0.0,0.4228306809792274,0.06986175714346676,2.11071901795746,0.28622099651786254,1.5081666666744493,0.02450000002334769,0.42602298028314955,0.16644708063500835,0.005900000000000588,0.017700000000001766,0.05
20,0.55354,False,0.0,0.3622,1.0,0.0,0.0,0.3554947560878174,0.052860699319074306,1.8777088658059617,0.1719626137152039,1.5093,0.01472446943016962,0.2931681222581788,0.11368605531379136,0.0,0.0,0.05
21,0.6129,False,0.0,0.44699999999999995,1.0,0.0,0.0,0.3844969691446741,0.06441636833119317,2.066949512070569,0.28070207356075766,1.5078,0.013673331708109755,0.39097015333466095,0.16980731137872018,0.0,0.0,0.05
22,0.5863700000000001,False,0.0,0.4091,1.0,0.0,0.0,0.39052506057091524,0.08197110989339236,1.9968043288514985,0.3548150534006553,1.5055,0.012282100797502011,0.33105736445725614,0.18697722139604783,0.0,0.0,0.05
23,0.61437,False,0.0,0.44909999999999994,1.0,0.0,0.0,0.40264580786179505,0.07022849681311522,2.0161920570086407,0.23064717591521883,1.5048,0.008292164976651176,0.3727666586001519,0.15765604308388967,0.0,0.0,0.05
24,0.60016,False,0.0,0.4288,1.0,0.0,0.0,0.3716346201547635,0.060591422447200956,1.9453872458668418,0.21891545418989944,1.5181,0.030352759347380614,0.34499264806186514,0.13517466902208095,0.0,0.0,0.05
25,0.57972,False,0.0,0.3996,1.0,0.0,0.0,0.3722835792473675,0.03747463837862784,1.9301966239000925,0.20541958236768063,1.5,0.0,0.31395853252047357,0.11328260496989216,0.0,0.0,0.05
26,0.5473300000000001,False,0.0,0.3799,0.9380000000000001,0.0,0.0,0.3918594980999307,0.0652036321983825,1.9552611488455487,0.23290895007131276,1.632333333333333,0.34418531830008775,0.34936838274069104,0.197887760824593,0.07969999999999981,0.23909999999999942,0.05
27,0.58098,False,0.0,0.4013999999999999,1.0,0.0,0.0,0.38209683718524035,0.08117741170669257,1.953865496859768,0.23458962525289542,1.5148,0.027095387061269283,0.33329650421142065,0.122772225722504,0.0,0.0,0.05
28,0.65448,False,0.0,0.5064,1.0,0.0,0.0,0.4252959268930428,0.060295798757600834,2.1187364565994513,0.2089134987591015,1.5241,0.033116310180936505,0.4405754486116889,0.1318090661633718,0.0,0.0,0.05
29,0.5877000000000001,False,0.0,0.41100000000000003,1.0,0.0,0.0,0.36215949471498,0.04479460676751052,1.9314103144322616,0.23492569886285042,1.5084222222222228,0.01344387510272897,0.32599083081757124,0.16371909396569373,0.0006000000000002928,0.001800000000000878,0.05
30,0.57447,False,0.0,0.3921,1.0,0.0,0.0,0.3921649593790426,0.07106776804652909,1.955049346833055,0.2654813921530376,1.5062000000000002,0.012319090875547578,0.32692373428733085,0.15428958589692937,0.0,0.0,0.05
