generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,mutation_sigma
0,0.7975,True,0,0.0,0.325,1.0,0.0,0.0,0.39465571220533285,0.06833610302822782,1.8115721110484462,0.09343569464108988,1.5381,0.04170239801258438,0.29267027973340143,0.054208589479112196,0.0,0.0,0.03183692734072683,0.00467498515485289,0.15000000000000013,2.6331251014325257e-17,0.46849999999999997,0.04352298243457128,0.04052086754690576,0.0008040977554208679,0.5930736037036768,0.06899596028545296,0.0
1,0.76457,False,0,0.0,0.3634,0.9365,0.0,0.0,0.4004737241557542,0.06122865678322914,1.9288917728635204,0.24891634066910268,1.6471111111120738,0.3382439290742505,0.36696246639511865,0.16564169994531497,0.07980000000000018,0.23940000000000047,0.03637977782912417,0.009722427604623936,0.15000000000000013,0.0,0.46706164383561644,0.04412356506655796,0.04164497769739155,0.002191592657994701,0.5829986463585458,0.0666966335007451,0.05
2,0.7861899999999999,False,0,0.0,0.2873,1.0,0.0,0.0,0.38219068961263103,0.05268039507183717,1.7517227355573532,0.08475299999596854,1.5474428247137617,0.10160800434394753,0.22935383049310762,0.03346442477767476,0.0,0.0,0.02700607334811761,0.0033478660847621774,0.15000000000000013,2.6331251014325257e-17,0.42140000000000005,0.03311253539069456,0.0402998511844387,0.000674178692811168,0.5637342394439224,0.06939292062833337,0.05
3,0.76082,False,0,0.0,0.3579,0.9335000000000001,0.0,0.0,0.4288933987632957,0.06335119591553337,1.9357602199987838,0.195971636415318,1.6443888888892613,0.34231977415537673,0.3896541231485475,0.1515752927960418,0.07959999999999982,0.23879999999999946,0.03425980494840149,0.007078076131852304,0.15000000000000013,0.0,0.4676373134328358,0.05158038496095182,0.0412066643270526,0.0011675411708917233,0.6049798498384644,0.06132956829947218,0.05
4,0.7932999999999999,False,0,0.0,0.311,1.0,0.0,0.0,0.3912662983515598,0.0453469629888087,1.8031478246502626,0.14008971502499587,1.5454,0.04956046811724039,0.27827979135955055,0.07710090836545341,0.0,0.0,0.029753508823999332,0.005634436676422606,0.15000000000000013,2.482534153247273e-17,0.4391999999999999,0.031476340320945824,0.040719197531486916,0.001455908580217462,0.5648405622548155,0.0757346858045785,0.05
5,0.7992699999999999,True,0,0.0,0.3309,1.0,0.0,0.0,0.3606408542247396,0.10947743316576515,1.8717862937494765,0.1838097737579663,1.534339193142787,0.04994018302948281,0.2881944759808578,0.10071625219574179,0.01150000000000081,0.023567986761708713,0.03058899390050871,0.0073536816933449075,0.1450000000000001,0.015000000000000025,0.433,0.05735329109998832,0.04132664463985672,0.0013712742912686867,0.513458770589562,0.15142416361394018,0.05
6,0.73699,False,0,0.0,0.3711,0.8938,0.0,0.0,0.4190787564319581,0.06825433195708634,2.039655258912408,0.20703296657655362,1.7873999999999999,0.4436238040346492,0.42034183593115537,0.19931867841967943,0.15940000000000004,0.3188012547026754,0.03847294151224186,0.012765295354482063,0.15000000000000013,0.0,0.48720624303233,0.04879522235901015,0.04213780808034064,0.001233597868216033,0.6006578089239102,0.06625716491873086,0.05
7,0.7920999999999999,False,0,0.0,0.307,1.0,0.0,0.0,0.37521623437238283,0.11913539013247149,1.7940503435371677,0.13648785662698112,1.5504666666666673,0.06298804119301957,0.2642137606552445,0.10768391755526537,0.012200000000000571,0.036600000000001714,0.02966044668481919,0.008584666407708844,0.1450000000000001,0.015000000000000025,0.4328,0.05118554483445498,0.040594713364517775,0.0011273136623498755,0.5572560613814524,0.17219469254304764,0.05
8,0.7674899999999999,False,0,0.0,0.33089999999999997,0.9545999999999999,0.0,0.0,0.4056537042066922,0.058965142091759556,1.83819806001032,0.15356702593070318,1.647566992187501,0.3399471255402626,0.3251100549699263,0.13492193903445804,0.09750000000000078,0.238015650745912,0.032431243689189176,0.004378773613627745,0.15000000000000013,0.0,0.4679593406593406,0.032759354666999856,0.040864277664468866,0.0015123592910580596,0.5568973593486811,0.1006134031818809,0.05
9,0.79606,False,0,0.0,0.3202,1.0,0.0,0.0,0.3940101037769839,0.060891187723238045,1.8095475509889547,0.127850785101874,1.5273222222222231,0.07050170210711448,0.2810358793411765,0.06528569818454258,0.01660000000000052,0.04980000000000156,0.03206716173449541,0.005400399978718657,0.15000000000000013,0.0,0.46449999999999997,0.04515141193805572,0.04060098109147749,0.0008267095423163942,0.5180768682587762,0.08252831012555722,0.05
10,0.7075099999999999,False,0,0.0,0.2999,0.8821999999999999,0.0,0.0,0.3607393421130792,0.11612468134542094,1.887326697739211,0.2694679511317752,1.741800013563246,0.4550729060451765,0.35499632635321643,0.22932835640322974,0.16350000000000037,0.31817833050036565,0.033117851722670746,0.011418711358358365,0.14500000000000013,0.015000000000000029,0.4458194447094742,0.06135656170218741,0.041067195795904815,0.0016467862038919887,0.5137900512935417,0.16546667106283583,0.05
11,0.7449999999999999,False,0,0.0,0.30189999999999995,0.9349000000000001,0.0,0.0,0.3692945007404499,0.04744843212892007,1.8051037564205508,0.1337415844463352,1.6784555555555556,0.3391822862906216,0.3183857917978158,0.15948654290454578,0.07989999999999994,0.23969999999999983,0.03200947968892081,0.00752283246371644,0.15000000000000013,0.0,0.4708816618911175,0.035582374917922946,0.04026807275958773,0.0008548226033717388,0.5552831936536232,0.08034006535387116,0.05
12,0.70967,False,0,0.0,0.305,0.8831,0.0,0.0,0.3842910508846264,0.04872008804785334,1.8420192279195462,0.1957542288677548,1.7414444444439598,0.4566331753051192,0.3709682579920383,0.21652647939710987,0.15979999999999978,0.3195999999999996,0.036136970434995794,0.01374012784204516,0.15000000000000013,1.7554167342883506e-17,0.4834040328188013,0.06229031675752649,0.040776922824889136,0.001290341020648198,0.5365111753657021,0.06993111172603525,0.05
