generation,fitness,accepted,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
0,0.33281,True,0.0,0.302,0.6127,31.2,0.0,0.4284744241182379,0.18698184186860772,2.2339939329741045,0.3836766582921822,2.8417831216042906,1.1877838167052839,0.6489906996034746,0.3535055540753729,0.9079368100736861,0.7822195662269933,0.0
1,0.31847,False,0.0,0.36550000000000005,0.47539999999999993,40.0,0.0,0.4892546534576372,0.07489700956164971,2.3871968332383906,0.23610735707775943,3.087571599755719,0.9676936464795395,0.8016211498098824,0.20419219166556904,1.144265110592165,0.6767723496584055,0.05
2,0.32325000000000004,False,0.0,0.26260000000000006,0.7981,50.0,0.0,0.3570200108893456,0.17964220748749957,2.034794436129142,0.4007235354976699,2.328226077258239,1.1948389865364801,0.4431831814154146,0.3640968634176891,0.5574524830024382,0.8492749420372175,0.05
3,0.33120000000000005,False,0.0,0.352,0.545,39.35,0.0,0.43897481060859234,0.07615490465774158,2.4166156809101054,0.3382271948281733,3.171262165161542,1.1716865835122268,0.7382275336845703,0.2843341716869784,1.1618734672386537,0.8391851948802326,0.05
4,0.28536,False,0.0,0.2394,0.7525999999999999,54.0,0.0,0.37766136540549466,0.1589164728359115,2.022665160899303,0.3193029690162806,2.1414267838354775,0.6617719151121408,0.45621151894962003,0.33810459950923893,0.4233576662413466,0.5529612309208987,0.05
5,0.33266,False,0.0,0.2838,0.662,32.3,0.0,0.4085636751809911,0.19760479762415403,2.115925767075923,0.36882130224704845,2.6967034470622755,1.1352915518150386,0.556491256792998,0.36691791632066556,0.7812930434121114,0.821889512045034,0.05
6,0.32748000000000005,False,0.0,0.2796,0.7512000000000001,46.8,0.0,0.3848541575263068,0.1810844628976549,2.0455599376494518,0.39734488523461053,2.4068545128323335,1.0537182014331936,0.4982028071109947,0.3813949048915149,0.6537600155116794,0.8675760010845902,0.05
7,0.29205000000000003,False,0.0,0.31930000000000003,0.7538,78.8,0.0,0.39881752135527115,0.1237330839147729,2.110050599276051,0.2950326921424179,2.3570518607002677,1.068167428964449,0.5275965230372486,0.29699420167152635,0.4493102541274981,0.5801705492676819,0.05
8,0.35878000000000004,True,0.0,0.3261,0.8137000000000001,56.8,0.0,0.4660840474296662,0.06340385644699359,2.134804140956555,0.3138095396528035,2.0645469420588363,0.8316087267057982,0.5005316316259779,0.2977141979509279,0.42894168108189346,0.7097330824873019,0.05
9,0.38776,True,0.0,0.3492,0.6843999999999999,31.0,0.0,0.46044025412410833,0.06233875071888228,2.1833235681750365,0.2757157667568278,2.3547697628222073,0.7989273956927421,0.614060585114828,0.3055800728511454,0.6507070692444652,0.7053222927022644,0.05
10,0.35733,False,0.0,0.32609999999999995,0.6302,30.0,0.0,0.44297682901616103,0.1649895241025663,2.180593036897757,0.3474985507401673,2.922567561193154,1.458001052855863,0.6620733253223883,0.35402187077231034,0.904080342312492,0.8508052227818326,0.05
11,0.40694,True,0.0,0.32170000000000004,0.8724999999999999,40.0,0.0,0.39444667696032093,0.13075118993948387,2.062420133052691,0.25949829119111373,2.027349216571177,0.8742755546941048,0.4412106036197356,0.2622726548175483,0.359325647198813,0.7015271529480153,0.05
12,0.36068,False,0.0,0.30179999999999996,0.6794,27.2,0.0,0.3998696112409069,0.11731415093170229,2.123797078286843,0.2858126781876549,2.3522436736356025,0.7813308515943387,0.5755285976815034,0.32624567133364685,0.6680334089267269,0.7368004403892927,0.05
13,0.3007000000000001,False,0.0,0.3028,0.6018,45.9,0.0,0.41185774502743583,0.12396083196925715,2.183737731368003,0.31054859310385363,2.945290157109809,1.2248686038304948,0.6536587973634762,0.34979919674182525,1.0497525505993948,0.9291736630052245,0.05
14,0.34086,False,0.0,0.3337,0.6109,38.0,0.0,0.4341515459952149,0.03985654355938886,2.2178918705745767,0.3569912264022498,2.7926552876371193,1.0682192726479531,0.671585574920149,0.34162817963441255,1.020649519532745,0.9100274850243698,0.05
15,0.28136000000000005,False,0.0,0.2757,0.7319,65.6,0.0,0.37031343785254767,0.16400996154432448,2.099481950578501,0.37538827429020966,2.4311912378463925,1.0876570479179766,0.5163971601841976,0.36682705660124887,0.7670063745184448,0.9534046239549683,0.05
16,0.27867000000000003,False,0.0,0.2283,0.7962,60.0,0.0,0.3042125811273861,0.16211949167682574,1.9332656171861415,0.3156453151584555,2.1663808501761195,0.8811825176999185,0.3870296464593227,0.33802004327184065,0.521454026555695,0.7990082132485026,0.05
17,0.30810999999999994,False,0.0,0.3396,0.6053,55.6,0.0,0.47743516010774273,0.06633793564702281,2.2360925005045402,0.3124659568063766,2.694597653902132,1.0533878680895816,0.6882953027530047,0.3017239108723629,0.8433409102660873,0.7665735610771562,0.05
18,0.40927,True,0.0,0.3012,0.7281000000000001,10.0,0.0,0.4117308792309998,0.060906334009933345,2.058718332999173,0.3010454762789246,2.416125412979466,1.0219933282680198,0.5394812436576444,0.3220685705949129,0.5829802377719695,0.7538410557207432,0.05
19,0.34859000000000007,False,0.0,0.2772,0.6635,22.25,0.0,0.36687888091091275,0.10887332335834463,2.070796225888439,0.32319948651626196,2.6397441570086086,1.2643281499608636,0.5643158565793487,0.36280955060789377,0.6775000005661729,0.7259790983017169,0.05
20,0.36351,False,0.0,0.3189,0.6696,30.3,0.0,0.3987465509397533,0.06093158556105849,2.19158411737728,0.40160320700399066,2.748762692519452,1.2540309674297196,0.5709058453728812,0.34690646241508083,0.8797549854359061,0.8774767212572663,0.05
21,0.34785000000000005,False,0.0,0.2826,0.8041,45.6,0.0,0.40477152952822504,0.030674555887277632,2.003039047914913,0.39907096112723256,2.5077017038048064,1.570537825114313,0.41878502436190274,0.3491549756646941,0.6662467919436085,1.0410081365408939,0.05
22,0.4188900000000001,True,0.0,0.299,0.8053000000000001,16.0,0.0,0.3765936125690649,0.030725342153013563,1.9959906244646277,0.2998554472666172,2.172840953779766,0.9118636677880677,0.4692005783106656,0.3169323387182028,0.48395646603682757,0.8060044400324574,0.05
23,0.33026,False,0.0,0.2801,0.8403,58.95,0.0,0.31373309172676256,0.19318551357856267,2.0696421580756406,0.49446742408495686,2.345445868031148,1.165920082875434,0.45392624687880245,0.4266328081642245,0.5451201534871564,0.8438935269218756,0.05
24,0.34835999999999995,False,0.0,0.293,0.7442,40.0,0.0,0.4031739339111512,0.027464460716603287,2.0217456688348787,0.29057343578119216,2.2708458350151757,0.9554536717539666,0.507971280568114,0.3166762820929377,0.5375895789445962,0.7572946347288887,0.05
25,0.33336000000000005,False,0.0,0.311,0.8042,62.8,0.0,0.42599423441275236,0.0271819205979934,2.0387762552676816,0.2795534797602468,2.12118486114587,0.8855286290530879,0.46093516864814366,0.2785730172162732,0.5058189201419834,0.8282121945766798,0.05
26,0.34799,False,0.0,0.31829999999999997,0.6186,30.2,0.0,0.3921771716772702,0.09990412856858581,2.20415234431546,0.3635818308316828,3.085850633300325,1.382028615477395,0.6771960527406526,0.3609964235626868,0.9650270688237322,0.8424908587172844,0.05
27,0.38026999999999994,False,0.0,0.3358,0.6146999999999999,19.6,0.0,0.38681516429891993,0.11303239835830615,2.247446768431365,0.3540603599446172,2.91027387222528,1.1198240022608734,0.6902146582463804,0.3608442104190077,1.0458879398343002,0.8582456624150266,0.05
28,0.30563,False,0.0,0.2954,0.6635,50.1,0.0,0.383704072970563,0.12522781126816013,2.0698879636970933,0.2456659965846695,2.6415543397283416,1.1256124905446996,0.5995796578225333,0.34805698213285324,0.8361347441199085,0.9006019573473609,0.05
29,0.32117000000000007,False,0.0,0.27220000000000005,0.7341,44.8,0.0,0.3559829812828635,0.15229374756390143,1.9737962054562033,0.23818450478143216,2.437075733321252,1.1105407825526687,0.49974714688938493,0.35384733309504046,0.7133176893476654,0.8675822711381055,0.05
30,0.28526,False,0.0,0.2767,0.7079,60.4,0.0,0.37145276736045524,0.15413664853303977,2.0517619986736815,0.3177433099544039,2.600529212545581,1.0811929485713616,0.5324321733180142,0.3412727133150173,0.8623337310599485,0.9187860590203731,0.05
31,0.30674999999999997,False,0.0,0.2663,0.6597999999999999,38.8,0.0,0.34235883365555,0.15947269746037246,2.0780190704201793,0.3254789600427218,3.087646424762387,1.3316808713630732,0.6018226094154973,0.3887077465619432,0.9833311660452194,0.8567494951218924,0.05
