generation,fitness,accepted,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
0,0.7166499999999999,True,0.0,0.49559999999999993,0.9376999999999999,0.0,0.0,0.39,0.013784048752090232,2.1557629021210305,0.23084796894224258,1.7009110743151783,0.33384793534775903,0.47216506751677034,0.16500763875018756,0.07979999999999988,0.23939999999999967,0.0
1,0.8112,True,0.4,0.6224000000000001,1.0,0.0,0.4898979485566356,0.3849767863400552,0.008063980268935315,2.05890242695205,0.26832978391479956,2.0008285695661696,0.5508571587800046,0.45911982674729057,0.19927143622302754,0.29580000000000417,0.37270411857129293,0.05
2,0.75215,False,0.1,0.5043,1.0,0.0,0.30000000000000004,0.37778216607553083,0.007993052538854543,2.032148420901328,0.2182975721214081,1.6738453206745991,0.28391748204857825,0.3897925158531453,0.13134801975029534,0.07600000000000118,0.22800000000000356,0.05
3,0.7943,False,0.2,0.5886,1.0,0.0,0.4000000000000001,0.3870330120847429,0.01438459824488216,2.2023228823183816,0.2873777193742845,1.9979731875000248,0.8182921412795631,0.4896669502270498,0.17060920811392538,0.18733333333333332,0.422505226792127,0.05
4,0.7366,False,0.1,0.5291,0.9441,0.0,0.30000000000000004,0.40766979376926865,0.016899211026948392,2.12767568921376,0.2980004491594843,1.9131976056734579,0.5479577446204231,0.46942014549283717,0.19790508927314163,0.17580000000000107,0.2805953670323172,0.05
5,0.7889,False,0.2,0.5778000000000001,1.0,0.0,0.4000000000000001,0.4022858851321581,0.011308796969124922,2.082715836323742,0.25287568957622314,1.8411970221355933,0.41022200387258995,0.42775814909004994,0.14786419245033033,0.15220000000000283,0.3045313776936679,0.05
6,0.7825500000000001,False,0.2,0.6155999999999999,0.9495000000000001,0.0,0.4000000000000001,0.4113579819816353,0.02048102102489575,2.195581428498019,0.1977665612684549,2.0540756575834824,0.7517508882545256,0.5262151551567585,0.15391518659849313,0.23850000000000113,0.3643315111268874,0.05
7,0.7565999999999999,False,0.2,0.5132,1.0,0.0,0.4000000000000001,0.37949718695517703,0.008368260140422142,1.975846027699887,0.21790055509156364,1.9762822916689906,0.9422487373940257,0.38177846293753465,0.16245824283225965,0.21430000000000277,0.4316480163281244,0.05
8,0.79005,False,0.1,0.5801000000000001,1.0,0.0,0.30000000000000004,0.4120864714280774,0.026716619879351852,2.257453411390919,0.35858840172296746,1.8097481015310237,0.5696077018318019,0.5063553320664178,0.17872146028230634,0.10510000000000048,0.3153000000000014,0.05
9,0.7691,False,0.1,0.5382,1.0,0.0,0.30000000000000004,0.40441781372089886,0.010393641218445925,2.143148568449097,0.281473786487402,1.716407200989759,0.39962281228578944,0.4277822256314628,0.15007177772523753,0.07760000000000113,0.2328000000000034,0.05
