generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,mutation_sigma
0,0.75963,True,0,0.0,0.3383,0.9402000000000001,0.0,0.0,0.38016666666666665,0.0056494837522261,1.8583437548003807,0.19659304696695712,1.6427555555555553,0.3377984014171759,0.35689576940754225,0.16412835953436328,0.07989999999999982,0.23969999999999944,0.0074904378109452744,0.002612765339660393,0.06000000000000005,0.0,0.1722771144278607,0.05904290191025095,0.019999999999999997,3.291406376790657e-18,0.38316666666666666,0.0053463383107818134,0.0
1,0.76663,True,0,0.0,0.36839999999999995,0.9373000000000001,0.0,0.0,0.3903101196733886,0.009075302260041315,1.9052146386081632,0.24575796330881988,1.641611127387153,0.3383879824752483,0.3689005642929771,0.16502392082918557,0.07980000000000019,0.23940000000000056,0.007951834932172507,0.00264887182728629,0.06000000000000005,0.0,0.1834482573726542,0.06007974008000884,0.019999999999999997,3.291406376790657e-18,0.3936434530067219,0.009227073690444268,0.05
2,0.78775,True,0,0.0,0.29250000000000004,1.0,0.0,0.0,0.3696154994088642,0.004310839052125858,1.7227629910553894,0.05982818096921225,1.5410428247137617,0.09597549011646572,0.23285764232826128,0.030681116431585834,0.0,0.0,0.00604338599290637,0.0005212485011968861,0.06000000000000005,8.777083671441753e-18,0.1472,0.011115754585272202,0.019999999999999997,3.469446951953614e-18,0.37361549940886407,0.004166666666666674,0.05
3,0.80179,True,0,0.0,0.33930000000000005,1.0,0.0,0.0,0.3585050584868851,0.006368324391514275,1.7953444306876825,0.10431477020493216,1.5215,0.029806878400798698,0.2995639203432616,0.06992776662708133,0.0,0.0,0.00649406070184262,0.000967313806373092,0.06000000000000005,1.2412670766236365e-17,0.1535,0.01914288379529061,0.019999999999999997,3.469446951953614e-18,0.362005058486885,0.006559556218051487,0.05
4,0.8019999999999999,True,0,0.0,0.33999999999999997,1.0,0.0,0.0,0.37586473258276515,0.011638060166730748,1.8656927899366373,0.22310079876198485,1.5474,0.04893505900681025,0.31071034831034294,0.10195865350643894,0.0,0.0,0.006666376790993182,0.0012662385241335853,0.06000000000000005,8.777083671441753e-18,0.1568,0.0258797217913949,0.019999999999999997,3.469446951953614e-18,0.3793647325827652,0.011996527275285423,0.05
5,0.7984,False,0,0.0,0.32799999999999996,1.0,0.0,0.0,0.35021397579022734,0.11149828268511601,1.8195415822181231,0.17022846746562983,1.5300222222429958,0.04600850162715977,0.271230646517847,0.10613222684924302,0.007600000000000393,0.022800000000001173,0.0063385677094827285,0.0022487910834558715,0.05800000000000005,0.0060000000000000045,0.15059999999999998,0.05158914614528913,0.019999999999999997,3.469446951953614e-18,0.3532139757902274,0.11194198186570037,0.05
6,0.77534,False,0,0.0,0.37060000000000004,0.9488,0.0,0.0,0.39024592822434523,0.009433981132056613,1.9396171413014567,0.17214897088709896,1.6458999999999997,0.34179275884664356,0.3733866972575886,0.15519093874177423,0.07999999999999996,0.2399999999999999,0.007903470602423779,0.0020599655900277,0.06000000000000005,0.0,0.18345245901639343,0.04575436749191041,0.019999999999999997,3.469446951953614e-18,0.3935792615576786,0.00949268724393211,0.05
7,0.79567,False,0,0.0,0.31889999999999996,1.0,0.0,0.0,0.3277799532114316,0.10513572009167811,1.7631156583980772,0.12270931312166444,1.5460666666666676,0.05760763838242466,0.26130124536718624,0.10078807480552145,0.012200000000000571,0.036600000000001714,0.005865359438537179,0.002136644762441605,0.05800000000000005,0.006000000000000004,0.1425,0.04979407595286813,0.019999999999999997,3.469446951953614e-18,0.3309466198780982,0.10561842569278204,0.05
8,0.7667099999999999,False,0,0.0,0.3353,0.9516,0.0,0.0,0.3759744176707872,0.005639641438562871,1.8407776673285405,0.1668579123356738,1.6440114366319452,0.34175497483369643,0.33822981369519733,0.14553153720720777,0.09760000000000066,0.23831038584165767,0.007145898325582767,0.001741539806214345,0.06000000000000004,1.3877787807814457e-17,0.16960077519379843,0.04006260998220939,0.019999999999999997,3.469446951953614e-18,0.37897441767078727,0.006193634725354023,0.05
9,0.7544899999999999,False,0,0.0,0.30389999999999995,0.9475999999999999,0.0,0.0,0.37947242663027536,0.00611237360696409,1.7795700291804875,0.1850656073859577,1.6191555555555557,0.34401724117000665,0.29477212207418163,0.15490869154494794,0.07990000000000011,0.23970000000000033,0.006993837736926997,0.002445228974859528,0.06000000000000005,7.601177430610146e-18,0.16836302521008403,0.05389803197181036,0.019999999999999997,3.469446951953614e-18,0.38247242663027536,0.005377421934967228,0.05
