generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,mutation_sigma
0,0.64335,True,0,0.0,0.3488,0.9379,0.0,0.0,0.14583333333333343,0.014995369655700743,1.8315302248475782,0.15102310067098143,1.6398888888888887,0.3418663156524453,0.36795437282668186,0.1565698824607497,0.07989999999999985,0.23969999999999958,0.0022653651715039596,0.0009114195386044431,0.006000000000000005,0.0,0.45936147757255935,0.1767637012326763,0.002000000000000001,1.3714193236627739e-19,0.14603333333333343,0.015055231648832228,0.0
1,0.68665,True,0,0.0,0.3733,1.0,0.0,0.0,0.1412345962217852,0.021665847334999804,1.8170256850477635,0.15611278622554944,1.5426000000009623,0.0572000000020257,0.30924732297998064,0.08934774677915291,0.0,0.0,0.0019244151546614224,0.00036540346555029226,0.006000000000000005,0.0,0.3954,0.07643716373597337,0.002000000000000001,0.0,0.14145126288845183,0.021731816886613076,0.05
2,0.662,False,0,0.0,0.324,1.0,0.0,0.0,0.11787812858068217,0.015750083669437275,1.721660177256652,0.0716051053862938,1.5175428247137617,0.029586440553784055,0.24132513960643448,0.03854916659272941,0.0,0.0,0.0015905375429681862,0.0002479177055572954,0.006000000000000005,0.0,0.3331,0.04553119809537193,0.002000000000000001,0.0,0.11807812858068216,0.01579480991681003,0.05
3,0.6511,False,0,0.0,0.39719999999999994,0.905,0.0,0.0,0.1536669320148892,0.022120108686373013,1.9585066746426716,0.30101775723000906,1.743999999996695,0.455621992438906,0.4439095299761548,0.2091564950856165,0.1597000000000001,0.3194007044450593,0.002516560700238638,0.0009650282302742892,0.006000000000000005,0.0,0.5101716319616278,0.18645060659058124,0.002000000000000001,1.939479807224432e-19,0.15386693201488924,0.02222452802515023,0.05
4,0.6205,False,0,0.0,0.3651,0.8759,0.0,0.0,0.1395346007127862,0.022470119827976844,1.8994450174941027,0.1918399815281753,1.7611111111111033,0.44669902867838013,0.4228180153268072,0.21089689743794263,0.15980000000000003,0.3196003128909608,0.002456047478872272,0.0011877559024810068,0.006000000000000005,0.0,0.4993408869055919,0.2391750056906941,0.002000000000000001,1.939479807224432e-19,0.13966793404611952,0.022524371601105812,0.05
5,0.63145,False,0,0.0,0.3716,0.8913,0.0,0.0,0.1299804386350451,0.04491065082241086,1.9071566581008934,0.2077016531225573,1.756271647419617,0.4484471740199563,0.39482371240649855,0.21768148959675004,0.16640000000000071,0.3164399469093628,0.0022468109703343737,0.0012265109081179121,0.005800000000000005,0.0006000000000000005,0.4649690295619874,0.24785733884668668,0.002000000000000001,1.3714193236627739e-19,0.13011377196837842,0.044908446228912026,0.05
6,0.6624,False,0,0.0,0.3774,0.9474,0.0,0.0,0.1491493330725768,0.021496344091348697,1.846085951024822,0.14389619264267042,1.6646833333333337,0.3378690483871305,0.3488657002459309,0.15920079937828535,0.07990000000000017,0.23970000000000052,0.002261101048864222,0.0007899328836202791,0.006000000000000005,0.0,0.46143206751054855,0.1399560659427365,0.002000000000000001,0.0,0.14939465747424652,0.021560073748649378,0.05
7,0.60405,False,0,0.0,0.30920000000000003,0.8989,0.0,0.0,0.10871051054907269,0.04206467726422789,1.7788573431741401,0.20388670237428994,1.7511775081345227,0.45156244462765577,0.3114853965388292,0.2253738607634618,0.15980000000000033,0.3196000000000007,0.0018375098747617329,0.0011488952588210504,0.005800000000000005,0.0006000000000000005,0.3928215850563099,0.23354296351552473,0.002000000000000001,1.3714193236627739e-19,0.10887717721573935,0.042061658532353725,0.05
8,0.6287,False,0,0.0,0.3539,0.9035,0.0,0.0,0.14478285932388363,0.020975542608339656,1.8486165475934488,0.18791854447918027,1.7591562930669404,0.4424694921498832,0.38657700248372157,0.1918128127659744,0.17470000000000066,0.3150403307514772,0.002351521814004588,0.0010306283298934453,0.006000000000000005,0.0,0.47486273232939896,0.194650576719712,0.002000000000000001,2.7428386473255477e-19,0.1449328593238836,0.020995152388206817,0.05
9,0.6704,False,0,0.0,0.3408,1.0,0.0,0.0,0.13826770804578212,0.021339875020075914,1.7693478146362043,0.07788881359058514,1.501,0.0030000000000000027,0.2850907516698701,0.0462431200070533,0.0,0.0,0.0018488124965493854,0.0003136555424640847,0.006000000000000005,0.0,0.38730000000000003,0.06591365564130092,0.002000000000000001,0.0,0.1384785936960691,0.02138986260862708,0.05
