generation,fitness,accepted,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
0,0.30039999999999994,True,0.0,0.2133,0.9382999999999999,65.2,0.0,0.23800000000000004,0.2015740834311572,1.959409208769258,0.4662048340759735,1.7878926988408161,0.7808710006105678,0.2757897179974019,0.29114788037097333,0.17839269884081582,0.5351780965224475,0.0
1,0.32891000000000004,True,0.0,0.2413,1.0,70.0,0.0,0.2940427441172795,0.14906448944238404,1.911068445318519,0.18063672013073043,1.5308,0.030844124237851194,0.24564994439537174,0.10777769446758059,2.8055159338034278e-191,0.0,0.05
2,0.29895000000000005,False,0.0,0.19450000000000003,1.0,68.6,0.0,0.2306812140031727,0.18434682439095695,1.8386949421153755,0.2312290458337192,1.526,0.043261992556977776,0.2298113452376762,0.14941985210629166,9.775796224275901e-151,2.9327388672827706e-150,0.05
3,0.34912000000000004,True,0.0,0.213,0.9334,40.0,0.0,0.29262380462731447,0.11261407165759199,1.9465668424400817,0.4206889530159332,1.7541999993916957,0.6814299358809468,0.22813206559004096,0.25256413187725824,0.1499999994735378,0.44999999842061345,0.05
4,0.35994000000000004,True,0.0,0.20220000000000002,1.0,40.8,0.0,0.2754385650161656,0.14092090296889248,1.831385067912117,0.14712222144112763,1.600466666666668,0.205330692623716,0.1882719344649249,0.08930687686434313,0.049100000000000935,0.14730000000000282,0.05
5,0.33464,False,0.0,0.1972,1.0,51.7,0.0,0.24323798919085737,0.15635431667940167,1.8190403279020024,0.1315236114973062,1.6062333333333345,0.20596332197748612,0.21906566645932996,0.08527177838602905,0.049700000000000945,0.1491000000000028,0.05
6,0.3193000000000001,False,0.0,0.2312,0.9312000000000001,60.95,0.0,0.28183548887655524,0.1860120095210006,2.0165911226777657,0.397740055424496,2.009048527561401,1.2396199747550145,0.3519213892432482,0.2915155627844356,0.2576994654755219,0.5991074589742402,0.05
7,0.34641000000000005,False,0.0,0.26630000000000004,1.0,70.0,0.0,0.33873797724694066,0.13733946802981856,1.936559776289099,0.21251175735745276,1.5176,0.02697109563959163,0.30073518091925316,0.13632400863336316,1.3424603149737398e-176,0.0,0.05
8,0.31970000000000004,False,0.0,0.227,0.9359999999999999,60.0,0.0,0.2731068724029796,0.18145688008581343,1.985343631845596,0.43611161768115425,1.768477012478049,0.7570252759443739,0.28067415913876437,0.28309539329143985,0.18614698627936385,0.5584409588380916,0.05
9,0.34264,False,0.0,0.17519999999999997,1.0,40.0,0.0,0.24612812768802744,0.1580343381578443,1.7726362320508184,0.15248156091797424,1.5161111111164096,0.026057202046417028,0.18036514412260468,0.10077242737098173,0.006000000000000341,0.018000000000001026,0.05
